                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        6794      1.2800000000000000E+002      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12 
                    model_number                         star_age                        star_mass                         log_Teff                            log_L                            log_R                     log_center_T                   log_center_Rho                     log_center_P                         log_Lnuc                    log_abs_Lgrav                  v_surf_div_v_kh 
                               1          1.0000000000000001E-005          1.2800000000000000E+002          4.3189119746642870E+000          6.2115125127505761E+000          1.9911911434993397E+000          7.0131137979730038E+000         -1.7038825479331792E+000          1.3746261600701629E+001         -2.4244961127881108E+000          6.2115165205373382E+000          8.1576148929000599E+004 
                               5          7.4416000000000000E-005          1.2800000000000000E+002          4.3189121139080253E+000          6.2115123416494420E+000          1.9911907794612957E+000          7.0131139873447488E+000         -1.7038820321158246E+000          1.3746261987336197E+001         -2.4244954084646930E+000          6.2115090788793399E+000         -5.1175276463782495E+004 
                              10          2.5958682111999992E-004          1.2800000000000000E+002          4.3189123359141881E+000          6.2115115388089022E+000          1.9911899340287018E+000          7.0131138815019236E+000         -1.7038823120412088E+000          1.3746261771240061E+001         -2.4244956006494029E+000          6.2115110329689651E+000         -4.9702695423122459E+004 
                              15          7.2035107872931792E-004          1.2800000000000000E+002          4.3189128696161134E+000          6.2115093108929722E+000          1.9911877526668851E+000          7.0131138907094090E+000         -1.7038822687449917E+000          1.3746261790038703E+001         -2.4244959487019773E+000          6.2115092181207707E+000         -5.3374367866954490E+004 
                              20          1.8668799962237360E-003          1.2800000000000000E+002          4.3189144416241181E+000          6.2115040354935038E+000          1.9911819709511409E+000          7.0131142464584721E+000         -1.7038812596224069E+000          1.3746263479533113E+001         -2.4244927642962439E+000          6.2115041150305164E+000         -5.9597560896764669E+004 
                              25          4.7198108322034464E-003          1.2800000000000000E+002          4.3189182852235080E+000          6.2114907232997689E+000          1.9911676276554955E+000          7.0131151961364120E+000         -1.7038785706510893E+000          1.3746267040646543E+001         -2.4244861123935473E+000          6.2114907339304217E+000         -6.2101833707410573E+004 
                              30          1.1818815689988476E-002          1.2800000000000000E+002          4.3189279565216872E+000          6.2114567924654365E+000          1.9911313196419713E+000          7.0131171873110345E+000         -1.7038729067007063E+000          1.3746275313509479E+001         -2.4244694953474939E+000          6.2114568419761600E+000         -6.3328727169028294E+004 
                              35          2.9483411457712123E-002          1.2800000000000000E+002          4.3189517636882480E+000          6.2113663860129789E+000          1.9910385020826193E+000          7.0131222753954763E+000         -1.7038584769119860E+000          1.3746294674407592E+001         -2.4244308062525031E+000          6.2113664897248624E+000         -6.5597208245910777E+004 
                              40          7.3438578398454205E-002          1.2800000000000000E+002          4.3190099518853513E+000          6.2111151957327326E+000          1.9907965305482900E+000          7.0131347910726047E+000         -1.7038229291662086E+000          1.3746343951741572E+001         -2.4243332745326831E+000          6.2111151246680487E+000         -6.8515164940296308E+004 
                              45          1.8281309940044160E-001          1.2800000000000000E+002          4.3191461917616270E+000          6.2104421567645618E+000          1.9901875313116542E+000          7.0131659740973999E+000         -1.7037338815526029E+000          1.3746466269314311E+001         -2.4240899011338888E+000          6.2104420489656240E+000         -6.7506167514939691E+004 
                              50          4.5497190750010674E-001          1.2800000000000000E+002          4.3194377035172282E+000          6.2089554894813350E+000          1.9888611741588365E+000          7.0132431911312851E+000         -1.7035135058017428E+000          1.3746770221862176E+001         -2.4234879211421112E+000          6.2089554958752542E+000         -5.5545242229800904E+004 
                              55          1.1321901128706655E+000          1.2800000000000000E+002          4.3199831184363751E+000          6.2064002513074348E+000          1.9864927252335915E+000          7.0134348265772326E+000         -1.7029621829854398E+000          1.3747525000042653E+001         -2.4219923644843959E+000          6.2064002184934468E+000         -3.7953012666764334E+004 
                              60          2.8173257176583335E+000          1.2800000000000000E+002          4.3209426518554377E+000          6.2024393507488584E+000          1.9825932081161806E+000          7.0139061951440373E+000         -1.7015921038497421E+000          1.3749388301549820E+001         -2.4182989647770170E+000          6.2024393339515864E+000         -2.5496380844089748E+004 
                              65          7.0104823457635836E+000          1.2800000000000000E+002          4.3224302855015218E+000          6.1966300568328148E+000          1.9767132938659899E+000          7.0150621706543168E+000         -1.6981927073985783E+000          1.3753978727877634E+001         -2.4092077657820692E+000          6.1966300018845581E+000         -1.4416589873038220E+004 
                              70          1.7444397846610439E+001          1.2800000000000000E+002          4.3238741886375163E+000          6.1923156265961543E+000          1.9716682724756718E+000          7.0178932520034127E+000         -1.6897915506409475E+000          1.3765256963210364E+001         -2.3868767368590875E+000          6.1923156008300646E+000         -2.5997069695177024E+003 
                              75          4.3407318465677676E+001          1.2800000000000000E+002          4.3235751578527992E+000          6.2011047530074626E+000          1.9766608972507582E+000          7.0248966966612825E+000         -1.6689380841149433E+000          1.3793194029794487E+001         -2.3315278180527015E+000          6.2011046301577064E+000          3.8588559701897957E+003 
                              80          9.9175016716604333E+001          1.2800000000000000E+002          4.3219558280766508E+000          6.2248065702117179E+000          1.9917504654051843E+000          7.0400559477664197E+000         -1.6238624560084516E+000          1.3853635470465129E+001         -2.2112674600306828E+000          6.2248065540559727E+000          2.7766529439525721E+003 
                              85          1.7065619040676836E+002          1.2800000000000000E+002          4.3217281961263518E+000          6.2474359010534632E+000          2.0035203947266540E+000          7.0595200287899367E+000         -1.5660948393439824E+000          1.3931186653532759E+001         -2.0548833247844929E+000          6.2474360119806951E+000          1.3306200563320815E+003 
                              90          2.5087134994335284E+002          1.2800000000000000E+002          4.3237391974251853E+000          6.2660913974833035E+000          2.0088261403439067E+000          7.0811317935706048E+000         -1.5020451941601018E+000          1.4017249654724424E+001         -1.8754052788006597E+000          6.2660917144093196E+000          3.3112157730850561E+002 
                              95          3.3239521448546373E+002          1.2800000000000000E+002          4.3277899464320013E+000          6.2805602961149249E+000          2.0079590916460859E+000          7.1026625163263075E+000         -1.4382731611569008E+000          1.4102972766572933E+001         -1.6840864502576005E+000          6.2805606790980590E+000         -3.9408636666273935E+002 
                             100          4.0845282125265999E+002          1.2800000000000000E+002          4.3329360090799289E+000          6.2913039090778637E+000          2.0030387728317001E+000          7.1222677416715880E+000         -1.3802164043752045E+000          1.4181022879951033E+001         -1.4905274678806688E+000          6.2913041876313649E+000         -8.4448830649158981E+002 
                             105          4.7882743198505489E+002          1.2800000000000000E+002          4.3387648359760700E+000          6.2994576785514038E+000          1.9954580037761884E+000          7.1399535743478877E+000         -1.3278505210241311E+000          1.4251429135687784E+001         -1.2919967973587507E+000          6.2994577471192601E+000         -1.1978968508599166E+003 
                             110          5.4455493421788890E+002          1.2800000000000000E+002          4.3450078869754938E+000          6.3058056398760529E+000          1.9861458824396661E+000          7.1560588513191954E+000         -1.2801709888803221E+000          1.4315541075668841E+001         -1.0860304054622669E+000          6.3058057455664658E+000         -1.5451400389565620E+003 
                             115          6.0674104035429718E+002          1.2800000000000000E+002          4.3515436766050062E+000          6.3108494130727131E+000          1.9755961897789696E+000          7.1708236785917698E+000         -1.2365241413822183E+000          1.4374284947117184E+001         -8.7231175248667370E-001          6.3108495246553939E+000         -1.8212801156809942E+003 
                             120          6.6644728574869498E+002          1.2800000000000000E+002          4.3583191427430821E+000          6.3149238904634917E+000          1.9640824961982084E+000          7.1847379560178766E+000         -1.1953555376784379E+000          1.4429663215442547E+001         -6.5277223345528679E-001          6.3149239116556100E+000         -2.0930023837114227E+003 
                             125          7.2433375306347239E+002          1.2800000000000000E+002          4.3652945132899923E+000          6.3182435575148865E+000          1.9517915886300858E+000          7.1979113135984409E+000         -1.1563689463170310E+000          1.4482096922451600E+001         -4.3001723752031701E-001          6.3182436742530665E+000         -2.3400379643320266E+003 
                             130          7.8097865607174356E+002          1.2800000000000000E+002          4.3723900439959902E+000          6.3209619969508832E+000          1.9389597469360871E+000          7.2104968775294287E+000         -1.1191166476996119E+000          1.4532194345145554E+001         -2.0634833599538255E-001          6.3209619541275126E+000         -2.4819092591192157E+003 
                             135          8.3690877217307263E+002          1.2800000000000000E+002          4.3796199241917595E+000          6.3231976680019031E+000          1.9256178220700579E+000          7.2226317551381038E+000         -1.0831904386367504E+000          1.4580501546504717E+001          1.6806129905910051E-002          6.3231973701351523E+000         -2.6840666210057825E+003 
                             140          8.9241758568573812E+002          1.2800000000000000E+002          4.3869984898783851E+000          6.3250375501726097E+000          1.9117806317821611E+000          7.2343929184268649E+000         -1.0483675894119973E+000          1.4627322804170053E+001          2.3804060389505272E-001          6.3250370899685180E+000         -2.8547105796947317E+003 
                             145          9.4787761797993619E+002          1.2800000000000000E+002          4.3944340505098056E+000          6.3265419458577048E+000          1.8976617083618659E+000          7.2458691978601566E+000         -1.0143771943705848E+000          1.4673015351832488E+001          4.5700347613406656E-001          6.3265414326817817E+000         -3.0211424582879549E+003 
                             150          1.0034510583574119E+003          1.2800000000000000E+002          4.4019522924701127E+000          6.3277703702471495E+000          1.8832394366359753E+000          7.2571010678605434E+000         -9.8110787576328373E-001          1.4717737180807397E+001          6.7307846541731187E-001          6.3277694200871446E+000         -3.1275432613368303E+003 
                             155          1.0594069500051078E+003          1.2800000000000000E+002          4.4095313658934483E+000          6.3287664456391211E+000          1.8685793274852900E+000          7.2681463832270996E+000         -9.4838360297267332E-001          1.4761719349796383E+001          8.8642625532076547E-001          6.3287649556967702E+000         -3.2429705378290555E+003 
                             160          1.1159807740917643E+003          1.2800000000000000E+002          4.4171551453353750E+000          6.3295636449341997E+000          1.8537303682489750E+000          7.2790531253548423E+000         -9.1605836111723982E-001          1.4805153295592470E+001          1.0973244636261446E+000          6.3295611852067779E+000         -3.3557011736949594E+003 
                             165          1.1732529089710422E+003          1.2800000000000000E+002          4.4248249949903711E+000          6.3301891210881474E+000          1.8387034070159565E+000          7.2898361442672615E+000         -8.8409636937754177E-001          1.4848099327623368E+001          1.3056165723666109E+000          6.3301850790972098E+000         -3.4762004974389902E+003 
                             170          1.2313995288640401E+003          1.2800000000000000E+002          4.4325456250316728E+000          6.3306688802621363E+000          1.8235020265203492E+000          7.3005269784412032E+000         -8.5239714936443856E-001          1.4890681770323454E+001          1.5116094374438476E+000          6.3306624583103472E+000         -3.5876385933732236E+003 
                             175          1.2906702948872173E+003          1.2800000000000000E+002          4.4402401830833638E+000          6.3310288151519831E+000          1.8082928778618901E+000          7.3111687121409501E+000         -8.2083594378305669E-001          1.4933071833944069E+001          1.7159211271437811E+000          6.3310182371420565E+000         -3.6360347428288233E+003 
                             180          1.3510722527800647E+003          1.2800000000000000E+002          4.4479835152633074E+000          6.3312800882005087E+000          1.7929318500262652E+000          7.3217572016058385E+000         -7.8942378702715077E-001          1.4975256642874308E+001          1.9183264554174477E+000          6.3312632615637296E+000         -3.6401657152388098E+003 
                             185          1.4127512658463875E+003          1.2800000000000000E+002          4.4557775499919590E+000          6.3314366427190807E+000          1.7774220578282494E+000          7.3323131440480553E+000         -7.5809770294319034E-001          1.5017314999506116E+001          2.1191144021864319E+000          6.3314098837166393E+000         -3.8055000844535707E+003 
                             190          1.4756957004897120E+003          1.2800000000000000E+002          4.4635274138934484E+000          6.3315069357649767E+000          1.7619574765482191E+000          7.3428298858760446E+000         -7.2687649583860237E-001          1.5059222935090855E+001          2.3180884011851095E+000          6.3314649004102801E+000         -3.8065685385844254E+003 
                             195          1.5400497849918543E+003          1.2800000000000000E+002          4.4712863528018794E+000          6.3315036976651689E+000          1.7464379796814504E+000          7.3533250121912284E+000         -6.9570775554410991E-001          1.5101050716106210E+001          2.5155392690545391E+000          6.3314373685451049E+000         -3.8602175686610308E+003 
                             200          1.6059649149836780E+003          1.2800000000000000E+002          4.4790654197395279E+000          6.3314308592400366E+000          1.7308434265935881E+000          7.3638174058972110E+000         -6.6454227491897566E-001          1.5142870698032207E+001          2.7117819884884828E+000          6.3313266536254407E+000         -4.0022727876477529E+003 
                             205          1.6735173972773816E+003          1.2800000000000000E+002          4.4868549947054106E+000          6.3312905565055733E+000          1.7151941252945917E+000          7.3743105203278114E+000         -6.3336121029508552E-001          1.5184701112752343E+001          2.9068558821689656E+000          6.3311270478409059E+000         -4.0649283209830614E+003 
                             210          1.7427122197600447E+003          1.2800000000000000E+002          4.4946740873673798E+000          6.3310870159663519E+000          1.6994541697010421E+000          7.3847981549657424E+000         -6.0218844314999431E-001          1.5226511737729753E+001          3.1006275651509148E+000          6.3308314281782785E+000         -4.2027437747936274E+003 
                             215          1.8135355588125517E+003          1.2800000000000000E+002          4.5024219555248237E+000          6.3308231679869298E+000          1.6838265093964424E+000          7.3952691354819455E+000         -5.7105581101662373E-001          1.5268262246392439E+001          3.2928923033055515E+000          6.3304251576869239E+000         -4.1248158878945924E+003 
                             220          1.8862935416642451E+003          1.2800000000000000E+002          4.5101536541645126E+000          6.3305027573819270E+000          1.6682029068145627E+000          7.4057595299870620E+000         -5.3984967277193630E-001          1.5310095839631353E+001          3.4843044181567606E+000          6.3298834585459289E+000         -4.1611565914543726E+003 
                             225          1.9609606986757469E+003          1.2800000000000000E+002          4.5179104145799505E+000          6.3301230274272422E+000          1.6524995210063460E+000          7.4162549888441314E+000         -5.0862288746012674E-001          1.5351952936392626E+001          3.6745942174640542E+000          6.3291620758538514E+000         -4.2822341998453830E+003 
                             230          2.0373294704851328E+003          1.2800000000000000E+002          4.5256899236871009E+000          6.3296856459244095E+000          1.6367218120406293E+000          7.4267151731567722E+000         -4.7748964824960083E-001          1.5393674584946563E+001          3.8630287930671634E+000          6.3282001360915681E+000         -4.3047467383418098E+003 
                             235          2.1156706264248201E+003          1.2800000000000000E+002          4.5334188684520553E+000          6.3291931187343184E+000          1.6210176589156742E+000          7.4371652138122828E+000         -4.4638130373241885E-001          1.5435359466673699E+001          4.0500633617374460E+000          6.3269032881461058E+000         -4.3804650802968235E+003 
                             240          2.1963410288132018E+003          1.2800000000000000E+002          4.5411070607231343E+000          6.3286395534703246E+000          1.6053644917415195E+000          7.4476335874396069E+000         -4.1520610025941335E-001          1.5477123967201111E+001          4.2361951849783113E+000          6.3251149891184459E+000         -4.3934220077327909E+003 
                             245          2.2793869613922848E+003          1.2800000000000000E+002          4.5488296210432546E+000          6.3280245355917657E+000          1.5896118621619990E+000          7.4581023299138627E+000         -3.8401758454514717E-001          1.5518892731303215E+001          4.4210643899630959E+000          6.3226105107839343E+000         -4.4228536936456303E+003 
                             250          2.3651902135729015E+003          1.2800000000000000E+002          4.5565146073456031E+000          6.3273453268732061E+000          1.5739022851980224E+000          7.4685870758057940E+000         -3.5277799936681054E-001          1.5560729084725549E+001          4.6049076075440665E+000          6.3190373759691703E+000         -4.4659691991415384E+003 
                             255          2.4538519257541830E+003          1.2800000000000000E+002          4.5642677564160694E+000          6.3265934097124443E+000          1.5580200284767081E+000          7.4790551618055234E+000         -3.2158238097758229E-001          1.5602499658360081E+001          4.7870659715374639E+000          6.3138699586667695E+000         -4.4575901934439817E+003 
                             260          2.5457252971122152E+003          1.2800000000000000E+002          4.5719330206011364E+000          6.3257600655691748E+000          1.5422728280349403E+000          7.4894855279925832E+000         -2.9049873306967128E-001          1.5644120868429045E+001          4.9670931739460213E+000          6.3063153041343982E+000         -4.4597223606796142E+003 
                             265          2.6416487557422238E+003          1.2800000000000000E+002          4.5795899145369914E+000          6.3248240316746651E+000          1.5264910232159756E+000          7.4998813698991089E+000         -2.5952792745952336E-001          1.5685600910234990E+001          5.1448732319902319E+000          6.2951353233111256E+000         -4.4841636839406619E+003 
                             270          2.7422650016208613E+003          1.2800000000000000E+002          4.5872089779534937E+000          6.3237613048211889E+000          1.5107215329562329E+000          7.5101776103120592E+000         -2.2886216942868387E-001          1.5726679129825818E+001          5.3190681312721466E+000          6.2785222420814453E+000         -4.4014233749918358E+003 
                             275          2.8487221113381634E+003          1.2800000000000000E+002          4.5948894915005445E+000          6.3225229486223329E+000          1.4947413277627037E+000          7.5202981318121758E+000         -1.9874235903928203E-001          1.5767044452229760E+001          5.4880851703747835E+000          6.2537736915090667E+000         -4.3335901526966654E+003 
                             280          2.9631525378098277E+003          1.2800000000000000E+002          4.6025538013586358E+000          6.3210397571039740E+000          1.4786711122873426E+000          7.5301617594022074E+000         -1.6941645494572144E-001          1.5806370171257807E+001          5.6500378249465610E+000          6.2168469439993945E+000         -4.3114193327302319E+003 
