                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                          1                         704     1.2800000000000000E+002     2.0000000000000000E-002     1.0000000000000001E-005     1.0000000000000001E-005     2.0840684291554004E+004     1.6274682050484109E+006     9.7992117750978011E+001    -9.6761626005172729E+000     7.0000000000000007E-001     2.9797635251138689E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976488E-003     1.2800000000000000E+002     0.0000000000000000E+000     8.9600000000000037E+001     3.8140973121457418E-003     3.5836185902687838E+001     4.4052615818394114E-001     1.2904429399508532E-001     1.1981371659699178E+000     2.6873087356129910E-001     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     1.2799999656037346E+002     9.6866012324851482E+001     1.2799996493327238E+002     9.4053141302888847E+001     8.5845058699718409E+005     2.4115475079651469E+003     7.8649769994242373E+005     3.7627372014185432E-003     3.7627372014185450E-003     1.1039114540966361E-059     1.5056612352096232E-004     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     1.9911911434993397E+000     4.3189233845218968E+000    -1.0276168600650118E+001     2.7899610633582617E+000 
                          2     9.9999999999900002E-001     1.9911906195750366E+000     4.3189512991591634E+000    -1.0275970845935728E+001     2.7900992357012573E+000 
                          3     9.9999999999755329E-001     1.9911898619272301E+000     4.3189843040099438E+000    -1.0275742088326043E+001     2.7902605731365253E+000 
                          4     9.9999999999610656E-001     1.9911891046744339E+000     4.3190253483750158E+000    -1.0275454656081775E+001     2.7904624111075775E+000 
                          5     9.9999999999395417E-001     1.9911879788328801E+000     4.3190744246082442E+000    -1.0275112703845762E+001     2.7907033550515501E+000 
                          6     9.9999999999180178E-001     1.9911868538686917E+000     4.3191600099436638E+000    -1.0274514869739665E+001     2.7911237087664684E+000 
                          7     9.9999999998644440E-001     1.9911840575433921E+000     4.3192820317325742E+000    -1.0273665064355896E+001     2.7917222662018157E+000 
                          8     9.9999999998108702E-001     1.9911812666305926E+000     4.3194523989052644E+000    -1.0272484171128445E+001     2.7925573021962160E+000 
                          9     9.9999999997147182E-001     1.9911762711314656E+000     4.3196709190633493E+000    -1.0270972246154670E+001     2.7936278072022009E+000 
                         10     9.9999999996185662E-001     1.9911712928216190E+000     4.3199558506770463E+000    -1.0269013400938961E+001     2.7950214102987090E+000 
                         11     9.9999999994635991E-001     1.9911633050593534E+000     4.3203067479072876E+000    -1.0266611840359035E+001     2.7967354887831544E+000 
                         12     9.9999999993086319E-001     1.9911553609087618E+000     4.3208317948366632E+000    -1.0263050204967572E+001     2.7992950220430428E+000 
                         13     9.9999999989986965E-001     1.9911396010839983E+000     4.3217889651421757E+000    -1.0256645854166008E+001     2.8039435283811067E+000 
                         14     9.9999999984571541E-001     1.9911124633769011E+000     4.3229971845741684E+000    -1.0248698275331948E+001     2.8097869405968106E+000 
