                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        500                         665     3.2000000000000000E+001     2.0000000000000000E-002     2.6820468536211324E+003     6.5377419475073948E+000     8.6255824121128480E+003     1.1722985794815168E+005     1.5353277442293262E+002    -9.9638878107070887E+000     6.9999999999999984E-001     2.9797635251372457E-005     2.7997020236474895E-001     3.4416106108119959E-003     1.0081585468366045E-003     9.3604466091399760E-003     2.0994599496976488E-003     3.2000000000000000E+001     0.0000000000000000E+000     2.2399999999999999E+001     9.5352432803696909E-004     8.9590464756719630E+000     1.1013153954598386E-001     3.2261073498771345E-002     2.9953429149247923E-001     6.7182718390324761E-002     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     3.1999995403664911E+001     1.5134075172920404E+002     3.1999948718340683E+001     1.4773306617182098E+002     3.3671326752506308E+006     1.3354885194499534E+003     2.7296800115677812E+006     1.2459561181459379E-007     1.2459561181459373E-007     0.0000000000000000E+000     4.9846552367986761E-009     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     2.1862010979349629E+000     3.9357906073923745E+000    -1.0848273412834171E+001     1.4402164982774217E+000 
                          2     9.9999999999900002E-001     2.1862009707947587E+000     3.9357974719288067E+000    -1.0848233640546416E+001     1.4402569808209735E+000 
                          3     9.9999999999684763E-001     2.1862006971674788E+000     3.9358100740664672E+000    -1.0848156749229179E+001     1.4403323043479426E+000 
                          4     9.9999999999321298E-001     2.1862002351794017E+000     3.9358259050985294E+000    -1.0848059828684979E+001     1.4404266579098532E+000 
                          5     9.9999999998957834E-001     2.1861997732929397E+000     3.9358508025540084E+000    -1.0847909277145270E+001     1.4405752861463705E+000 
                          6     9.9999999998178113E-001     2.1861987827688218E+000     3.9358847702629425E+000    -1.0847701793829069E+001     1.4407780880797914E+000 
                          7     9.9999999997398392E-001     2.1861977927110385E+000     3.9359325424656326E+000    -1.0847413056838850E+001     1.4410623921773189E+000 
                          8     9.9999999995985145E-001     2.1861959994067157E+000     3.9359941302056551E+000    -1.0847040415713945E+001     1.4414290690945828E+000 
                          9     9.9999999994571898E-001     2.1861942076182705E+000     3.9360971483739000E+000    -1.0846416827540679E+001     1.4420425052704813E+000 
                         10     9.9999999991258071E-001     2.1861900121249014E+000     3.9362416673447362E+000    -1.0845549759049524E+001     1.4428993813063447E+000 
                         11     9.9999999987944244E-001     2.1861858248782413E+000     3.9364557031125478E+000    -1.0844269727772295E+001     1.4441663406981615E+000 
                         12     9.9999999981446541E-001     2.1861776384040317E+000     3.9367394919564207E+000    -1.0842589901293874E+001     1.4458392911550833E+000 
                         13     9.9999999974948839E-001     2.1861694830731864E+000     3.9371541496438520E+000    -1.0840164581944288E+001     1.4482694267690630E+000 
                         14     9.9999999962473252E-001     2.1861539107616026E+000     3.9377004708098422E+000    -1.0837024597121532E+001     1.4514449292566169E+000 
