                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        700                         689     3.2000000000000000E+001     2.0000000000000000E-002     6.4624570676926260E+003     2.7164396342208388E+001     1.7853212110200559E+004     1.5485188976719047E+005     4.1189295300953269E+001    -8.1694415807843885E+000     6.9999999997948570E-001     2.9797655606047325E-005     2.7997020236482689E-001     3.4416106103234748E-003     1.0081585474065449E-003     9.3604466091399777E-003     2.0994599496976509E-003     3.2000000000000000E+001     0.0000000000000000E+000     2.2399999999934924E+001     9.5352439299740694E-004     8.9590464756720252E+000     1.1013153954562384E-001     3.2261073499191155E-002     2.9953429149247918E-001     6.7182718390324719E-002     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     3.1999999591534934E+001     4.0845141204943147E+001     3.1999996516034805E+001     4.0190447538240171E+001     4.6788069354260329E+005     3.7685876809027436E+003     2.0664907640526618E+006     4.5283366243588146E-003     4.5283366243588120E-003     2.2149351787500656E-058     1.8125593639277963E-004     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     1.6147843617664337E+000     4.2517413502795343E+000    -1.0018234590879199E+001     2.6761244055214775E+000 
                          2     9.9999999999900002E-001     1.6147833879085975E+000     4.2518200985710193E+000    -1.0017685177776061E+001     2.6765840873394482E+000 
                          3     9.9999999999684763E-001     1.6147812944402133E+000     4.2519645807544499E+000    -1.0016676192682105E+001     2.6774269346045529E+000 
                          4     9.9999999999321298E-001     1.6147777673788317E+000     4.2521459079115562E+000    -1.0015417687749281E+001     2.6784812855609914E+000 
                          5     9.9999999998957834E-001     1.6147742504378615E+000     4.2524307646122868E+000    -1.0013444261521784E+001     2.6801378759980050E+000 
                          6     9.9999999998178113E-001     1.6147667396345775E+000     4.2528185995646464E+000    -1.0010776046147548E+001     2.6823850455689642E+000 
                          7     9.9999999997398392E-001     1.6147592744485220E+000     4.2533627745568507E+000    -1.0007060501519510E+001     2.6855279284394600E+000 
                          8     9.9999999995985145E-001     1.6147458580969885E+000     4.2540616501222335E+000    -1.0002335805359129E+001     2.6895453982005195E+000 
                          9     9.9999999994571898E-001     1.6147325856876951E+000     4.2552253797360642E+000    -9.9946000706240401E+000     2.6961827466474366E+000 
                         10     9.9999999991258071E-001     1.6147020089801718E+000     4.2568430604927565E+000    -9.9840622825222667E+000     2.7053245867857743E+000 
                         11     9.9999999987944244E-001     1.6146721590327144E+000     4.2592134758630351E+000    -9.9691219223442467E+000     2.7185172746634452E+000 
                         12     9.9999999981446541E-001     1.6146155920963714E+000     4.2622972435433049E+000    -9.9503698526728659E+000     2.7354041022937490E+000 
                         13     9.9999999974948839E-001     1.6145613949107571E+000     4.2667060028258916E+000    -9.9249674771538707E+000     2.7589482363037372E+000 
                         14     9.9999999962473252E-001     1.6144631965641556E+000     4.2709063632481641E+000    -9.9016826680017349E+000     2.7810031739951313E+000 
                         15     9.9999999956235464E-001     1.6144166372565047E+000     4.2736493616483076E+000    -9.8871372386425520E+000     2.7951129937708914E+000 
                         16     9.9999999949997675E-001     1.6143715972459767E+000     4.2776790913001284E+000    -9.8666064936855520E+000     2.8154630689654310E+000 
                         17     9.9999999937522088E-001     1.6142856376770729E+000     4.2828577704741164E+000    -9.8411316099413799E+000     2.8412119651509680E+000 
                         18     9.9999999925046501E-001     1.6142045285086375E+000     4.2878439124408265E+000    -9.8176139200345229E+000     2.8655373199249969E+000 
                         19     9.9999999912570914E-001     1.6141276527814561E+000     4.2926463926187264E+000    -9.7957717097262691E+000     2.8885875938916445E+000 
                         20     9.9999999900095327E-001     1.6140545099017443E+000     4.2972736853424038E+000    -9.7753720284994436E+000     2.9104913650140771E+000 
                         21     9.9999999887619739E-001     1.6139846887802829E+000     4.3017338224140342E+000    -9.7562200926062932E+000     2.9313561687737710E+000 
                         22     9.9999999875144152E-001     1.6139178482514853E+000     4.3060346131579923E+000    -9.7381648726227752E+000     2.9512753747856353E+000 
                         23     9.9999999862668565E-001     1.6138537005440592E+000     4.3101840695840652E+000    -9.7210783027953251E+000     2.9703331674243922E+000 
                         24     9.9999999850192978E-001     1.6137920008030044E+000     4.3161789981174765E+000    -9.6972118712725717E+000     2.9974506713900895E+000 
                         25     9.9999999825241803E-001     1.6136751276511465E+000     4.3218080082530657E+000    -9.6746719724554371E+000     3.0230031195074911E+000 
                         26     9.9999999812766216E-001     1.6136196135321614E+000     4.3254343350974764E+000    -9.6605702812530492E+000     3.0392465096245536E+000 
                         27     9.9999999800290629E-001     1.6135658527382890E+000     4.3306959153173725E+000    -9.6406455972003862E+000     3.0625371060949389E+000 
                         28     9.9999999775339454E-001     1.6134630970783277E+000     4.3373200076667384E+000    -9.6157031707098337E+000     3.0917943407158539E+000 
                         29     9.9999999750388280E-001     1.6133660096288764E+000     4.3435863380412760E+000    -9.5925757898040747E+000     3.1192294300449741E+000 
                         30     9.9999999725437105E-001     1.6132738969289424E+000     4.3480552284397440E+000    -9.5761910958226615E+000     3.1387413735419103E+000 
                         31     9.9999999712961518E-001     1.6132295248726480E+000     4.3509562798794414E+000    -9.5657855708285027E+000     3.1512823453993941E+000 
                         32     9.9999999700485931E-001     1.6131861901929914E+000     4.3551966754113201E+000    -9.5508802289320904E+000     3.1694496297278807E+000 
                         33     9.9999999675534756E-001     1.6131024081560492E+000     4.3606022425925648E+000    -9.5319709685836695E+000     3.1925625222083784E+000 
                         34     9.9999999650583582E-001     1.6130221502702857E+000     4.3657746111445910E+000    -9.5141635913840528E+000     3.2145236407371445E+000 
                         35     9.9999999625632408E-001     1.6129450747725047E+000     4.3707340568983035E+000    -9.4973413626869458E+000     3.2354429642808347E+000 
                         36     9.9999999600681233E-001     1.6128708889353438E+000     4.3754979769547209E+000    -9.4814101089874416E+000     3.2554121466187462E+000 
                         37     9.9999999575730059E-001     1.6127993391472308E+000     4.3800815266566362E+000    -9.4662794022512866E+000     3.2745176960954132E+000 
                         38     9.9999999550778884E-001     1.6127302056271444E+000     4.3844983024459792E+000    -9.4518769475604181E+000     3.2928294624488101E+000 
                         39     9.9999999525827710E-001     1.6126632957424931E+000     4.3887607676099707E+000    -9.4381452968227713E+000     3.3104088434763188E+000 
                         40     9.9999999500876535E-001     1.6125984388284178E+000     4.3949252371915781E+000    -9.4188349471700725E+000     3.3355299608697342E+000 
                         41     9.9999999450974186E-001     1.6124742851952552E+000     4.4007343992510775E+000    -9.4004643996180324E+000     3.3593010709536681E+000 
                         42     9.9999999426023012E-001     1.6124147416833756E+000     4.4044847170502921E+000    -9.3889332845654536E+000     3.3744636730974329E+000 
                         43     9.9999999401071837E-001     1.6123567347833836E+000     4.4099393044642747E+000    -9.3726024700803965E+000     3.3962700733391675E+000 
                         44     9.9999999351169488E-001     1.6122449369114251E+000     4.4168415055808135E+000    -9.3521125139520596E+000     3.4237684232564427E+000 
                         45     9.9999999301267140E-001     1.6121382106324398E+000     4.4234018376201334E+000    -9.3330866807714532E+000     3.4496538988501997E+000 
                         46     9.9999999251364791E-001     1.6120359851983992E+000     4.4296552150817528E+000    -9.3153590682994221E+000     3.4741037569277875E+000 
                         47     9.9999999201462442E-001     1.6119377805609758E+000     4.4356312417544315E+000    -9.2987812705101849E+000     3.4972715433797141E+000 
                         48     9.9999999151560093E-001     1.6118431909605906E+000     4.4413565774912520E+000    -9.2832390526025534E+000     3.5192836728011594E+000 
                         49     9.9999999101657744E-001     1.6117518679874285E+000     4.4468555226243902E+000    -9.2686339813177749E+000     3.5402503452717400E+000 
                         50     9.9999999051755395E-001     1.6116635102691217E+000     4.4521500651612005E+000    -9.2548889633235216E+000     3.5602704071245337E+000 
                         51     9.9999999001853046E-001     1.6115778537353118E+000     4.4597918755821615E+000    -9.2359429418584469E+000     3.5886870393845638E+000 
                         52     9.9999998902048348E-001     1.6114137119506990E+000     4.4669891961782096E+000    -9.2182339811922116E+000     3.6153978944521152E+000 
                         53     9.9999998852145999E-001     1.6113348541407002E+000     4.4716299244134516E+000    -9.2073452147466810E+000     3.6323477579550860E+000 
                         54     9.9999998802243650E-001     1.6112579075021225E+000     4.4761353221828157E+000    -9.1970440628822363E+000     3.6486692885373251E+000 
                         55     9.9999998752341301E-001     1.6111827250139852E+000     4.4805130735771943E+000    -9.1872818426682912E+000     3.6644125094553073E+000 
                         56     9.9999998702438953E-001     1.6111091758785734E+000     4.4868823150870760E+000    -9.1736882465140326E+000     3.6870201100350952E+000 
                         57     9.9999998602634255E-001     1.6109665040294772E+000     4.4949462748147733E+000    -9.1569218053918373E+000     3.7154779483073792E+000 
                         58     9.9999998502829557E-001     1.6108291023755759E+000     4.5007025516138190E+000    -9.1452560090891506E+000     3.7356870595458584E+000 
                         59     9.9999998452927208E-001     1.6107621751727883E+000     4.5044368031439728E+000    -9.1379982876504684E+000     3.7486616390123917E+000 
                         60     9.9999998403024859E-001     1.6106963269412233E+000     4.5098897630242494E+000    -9.1278150602256272E+000     3.7674372442777995E+000 
                         61     9.9999998303220161E-001     1.6105675960599801E+000     4.5168321218151943E+000    -9.1151008112445364E+000     3.7912990666733823E+000 
