                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        800                         766     3.2000000000000000E+001     2.0000000000000000E-002     9.3476796779200686E+003     3.3033138810704862E+001     2.5677316111459611E+004     1.8590905286472669E+005     2.1817744431764385E+001    -7.3840688606599665E+000     6.9999997477987708E-001     2.9787918853359744E-005     2.7997021067552275E-001     3.4414508363676409E-003     1.0083449736440439E-003     9.3604465825239264E-003     2.0994599496976505E-003     3.2000000000000000E+001     0.0000000000000000E+000     2.2399999971243545E+001     9.5351837303923718E-004     8.9590464847541913E+000     1.1013138575519046E-001     3.2261252939254449E-002     2.9953429147203209E-001     6.7182718390324733E-002     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     3.1999999897017180E+001     2.1658432567507852E+001     3.1999998839495142E+001     2.1326364416056997E+001     1.8037375965358759E+005     5.9261017927900521E+003     1.7212717458834138E+006     8.8785204462622893E+000     8.8785204462622804E+000     3.3339559681095360E-044     4.8405935530475502E-001     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     1.3388098502178505E+000     4.4096321341580929E+000    -9.6211807110775016E+000     3.2743846117191948E+000 
                          2     9.9999999999900002E-001     1.3388072237765594E+000     4.4098920909496178E+000    -9.6193675742680949E+000     3.2758551970363166E+000 
                          3     9.9999999999684763E-001     1.3388015941109495E+000     4.4103686435571010E+000    -9.6160708641834720E+000     3.2785418644406028E+000 
                          4     9.9999999999321298E-001     1.3387921588122700E+000     4.4109659459698465E+000    -9.6119816045076831E+000     3.2818936483657910E+000 
                          5     9.9999999998957834E-001     1.3387828113317857E+000     4.4119026864534616E+000    -9.6056708846167957E+000     3.2871140521203785E+000 
                          6     9.9999999998178113E-001     1.3387630459271500E+000     4.4131744138731515E+000    -9.5972807024982760E+000     3.2941374729771198E+000 
                          7     9.9999999997398392E-001     1.3387436560855903E+000     4.4149522828534815E+000    -9.5858985525074960E+000     3.3038273497887638E+000 
                          8     9.9999999995985145E-001     1.3387094147598066E+000     4.4172226174135361E+000    -9.5718787641103997E+000     3.3160085790753637E+000 
                          9     9.9999999994571898E-001     1.3386762534338621E+000     4.4209745197556005E+000    -9.5499679459230560E+000     3.3356514779097601E+000 
                         10     9.9999999991258071E-001     1.3386022941561651E+000     4.4248361319272860E+000    -9.5286169254452258E+000     3.3554065578866537E+000 
                         11     9.9999999989601152E-001     1.3385670752863006E+000     4.4273744580890586E+000    -9.5153054416023846E+000     3.3680984835791072E+000 
                         12     9.9999999987944233E-001     1.3385329113419131E+000     4.4310788028508510E+000    -9.4968073931836248E+000     3.3862366291252557E+000 
                         13     9.9999999984695387E-001     1.3384686947356668E+000     4.4358677988819251E+000    -9.4741426234119839E+000     3.4091635885272482E+000 
                         14     9.9999999981446541E-001     1.3384077171293731E+000     4.4405356505333362E+000    -9.4533555529410531E+000     3.4309531452921691E+000 
                         15     9.9999999978197696E-001     1.3383495654855782E+000     4.4450861536268418E+000    -9.4341934374724037E+000     3.4517120900191340E+000 
                         16     9.9999999974948850E-001     1.3382939019736870E+000     4.4494356280476604E+000    -9.4167972951540886E+000     3.4711457095110898E+000 
                         17     9.9999999971829956E-001     1.3382425441956294E+000     4.4535965889866258E+000    -9.4009436856892279E+000     3.4893845953436728E+000 
                         18     9.9999999968711062E-001     1.3381930101323498E+000     4.4596811331905455E+000    -9.3792115714579474E+000     3.5153936498598104E+000 
                         19     9.9999999962473274E-001     1.3380987305714969E+000     4.4674553943728128E+000    -9.3531685611367035E+000     3.5478399320411875E+000 
                         20     9.9999999956235486E-001     1.3380098822488371E+000     4.4730504044166581E+000    -9.3355170458669612E+000     3.5706943294417246E+000 
                         21     9.9999999953116592E-001     1.3379672080858758E+000     4.4766937432866696E+000    -9.3246396819311173E+000     3.5852948432960003E+000 
                         22     9.9999999949997698E-001     1.3379255773483554E+000     4.4820324020498372E+000    -9.3095117359189263E+000     3.6063223375257252E+000 
                         23     9.9999999943759910E-001     1.3378451323098193E+000     4.4888707592796830E+000    -9.2909974923976275E+000     3.6328828219521254E+000 
                         24     9.9999999937522122E-001     1.3377680026558396E+000     4.4954326480206683E+000    -9.2742618933688341E+000     3.6579285623793503E+000 
                         25     9.9999999931284334E-001     1.3376937498519177E+000     4.5001679220042110E+000    -9.2626386767601065E+000     3.6758211295422876E+000 
                         26     9.9999999928165439E-001     1.3376575901144878E+000     4.5032569657086512E+000    -9.2553872736523566E+000     3.6873544930399507E+000 
                         27     9.9999999925046545E-001     1.3376220203115214E+000     4.5077916598705077E+000    -9.2451804340372057E+000     3.7041092532759978E+000 
                         28     9.9999999918808757E-001     1.3375525079191377E+000     4.5136160625039032E+000    -9.2324508152778542E+000     3.7254999207773367E+000 
                         29     9.9999999912570969E-001     1.3374849714750612E+000     4.5192212330782047E+000    -9.2207230610485009E+000     3.7458971264544974E+000 
