                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        850                         824     3.2000000000000000E+001     2.0000000000000000E-002     1.1198955716075059E+004     4.1699815124064550E+001     3.0463852258756098E+004     1.8781381170585580E+005     1.5579480030149703E+001    -7.0258805330070393E+000     6.9999547811393148E-001     2.8550536084049899E-005     2.7997114372762277E-001     3.4126361662438140E-003     1.0419722276301861E-003     9.3604349952762823E-003     2.0994599496976505E-003     3.2000000000000000E+001     0.0000000000000000E+000     2.2399995128164843E+001     9.5197887084604482E-004     8.9590476548176134E+000     1.1010010309750264E-001     3.2297758184986425E-002     2.9953428140144567E-001     6.7182718390324803E-002     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     3.1999999947240596E+001     1.5467133779173871E+001     3.1999999387666058E+001     1.5270805211057191E+001     1.0883987157067437E+005     8.2148381234610733E+003     1.7038150554186469E+006     1.2044980813497839E+003     1.2044980813497841E+003     1.9285093509800025E-038     7.2903386020451720E+001     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     1.1925529588689523E+000     4.4839645746788843E+000    -9.4889684399454861E+000     3.5367267194019436E+000 
                          2     9.9999999999900002E-001     1.1925476386422234E+000     4.4845307149989395E+000    -9.4850665568804668E+000     3.5398134536577945E+000 
                          3     9.9999999999684763E-001     1.1925362893463822E+000     4.4855677748103160E+000    -9.4780607489176525E+000     3.5454218930331751E+000 
                          4     9.9999999999321298E-001     1.1925174287427012E+000     4.4868660724730587E+000    -9.4695243305458607E+000     3.5523683664002967E+000 
                          5     9.9999999998957834E-001     1.1924989328539013E+000     4.4888981575940923E+000    -9.4566747600607837E+000     3.5630741289951726E+000 
                          6     9.9999999998178113E-001     1.1924604037094826E+000     4.4916479168407113E+000    -9.4401696629569365E+000     3.5772691980303168E+000 
                          7     9.9999999997398392E-001     1.1924233016758365E+000     4.4954728297707955E+000    -9.4187754557024057E+000     3.5964853583789540E+000 
                          8     9.9999999995985145E-001     1.1923592643438277E+000     4.5003163652665572E+000    -9.3938385233423762E+000     3.6200736544509859E+000 
                          9     9.9999999994571898E-001     1.1922987744129097E+000     4.5054686064418643E+000    -9.3696347680989813E+000     3.6443349085355994E+000 
                         10     9.9999999992914979E-001     1.1922316699131308E+000     4.5108923873653959E+000    -9.3462680168203409E+000     3.6691000551349271E+000 
                         11     9.9999999991258059E-001     1.1921680517718276E+000     4.5161732732602369E+000    -9.3253181105565783E+000     3.6925424084263225E+000 
                         12     9.9999999989601140E-001     1.1921074036341013E+000     4.5200320719076084E+000    -9.3109084839238765E+000     3.7093401667243211E+000 
                         13     9.9999999988772681E-001     1.1920780600716911E+000     4.5225649082711143E+000    -9.3019143402166282E+000     3.7201893943271984E+000 
                         14     9.9999999987944221E-001     1.1920493121911810E+000     4.5262559358538637E+000    -9.2894001027116744E+000     3.7357747625187687E+000 
                         15     9.9999999986319799E-001     1.1919945290775429E+000     4.5310138176923376E+000    -9.2739660626726010E+000     3.7555999908875410E+000 
                         16     9.9999999984695376E-001     1.1919416390026512E+000     4.5356368136503331E+000    -9.2597270968511012E+000     3.7745696984892390E+000 
                         17     9.9999999983070953E-001     1.1918904364803726E+000     4.5401277106803120E+000    -9.2465106580912781E+000     3.7927537446411921E+000 
                         18     9.9999999981446530E-001     1.1918407513712452E+000     4.5466530972016370E+000    -9.2285170792336473E+000     3.8186900886445763E+000 
                         19     9.9999999978197684E-001     1.1917453663316480E+000     4.5528396303347520E+000    -9.2116845623745522E+000     3.8431842524409814E+000 
                         20     9.9999999976573262E-001     1.1916994645346339E+000     4.5568374005610677E+000    -9.2013529709206736E+000     3.8587841900459772E+000 
                         21     9.9999999974948839E-001     1.1916546277764350E+000     4.5624956613944310E+000    -9.1873259282605062E+000     3.8806087873644146E+000 
                         22     9.9999999971829945E-001     1.1915712403207901E+000     4.5695526312894943E+000    -9.1699352107703973E+000     3.9077545748255118E+000 
                         23     9.9999999968711051E-001     1.1914910807605166E+000     4.5762403847538904E+000    -9.1537535712221771E+000     3.9333227052141546E+000 
                         24     9.9999999965592157E-001     1.1914138109528833E+000     4.5810090729779427E+000    -9.1421146433030778E+000     3.9515684059592475E+000 
                         25     9.9999999964032704E-001     1.1913761827689398E+000     4.5841017691886528E+000    -9.1347286475813920E+000     3.9633243534148002E+000 
                         26     9.9999999962473252E-001     1.1913391795751824E+000     4.5886154171337026E+000    -9.1241435162697151E+000     3.9803885077669303E+000 
                         27     9.9999999959354358E-001     1.1912669278946311E+000     4.5943477366008105E+000    -9.1103908893102279E+000     4.0021590421761104E+000 
                         28     9.9999999956235464E-001     1.1911968939231636E+000     4.5998061603185203E+000    -9.0972052182437437E+000     4.0229020724505471E+000 
                         29     9.9999999953116570E-001     1.1911289219162307E+000     4.6050098299581359E+000    -9.0844963138623438E+000     4.0427120965266123E+000 
                         30     9.9999999949997675E-001     1.1910628796130827E+000     4.6099766543929039E+000    -9.0722022987806525E+000     4.0616700617388641E+000 
                         31     9.9999999946878781E-001     1.1909986517310927E+000     4.6147236191019996E+000    -9.0602793950457361E+000     4.0798446270571755E+000 
                         32     9.9999999943759887E-001     1.1909361357842900E+000     4.6215187756004408E+000    -9.0433947395805472E+000     4.1057690030118197E+000 
                         33     9.9999999937522099E-001     1.1908157956676451E+000     4.6298711499853011E+000    -9.0213265176117066E+000     4.1381262453298993E+000 
                         34     9.9999999931284311E-001     1.1907013249452398E+000     4.6356810304838767E+000    -9.0051867814485274E+000     4.1609279461471456E+000 
                         35     9.9999999928165417E-001     1.1906461452654331E+000     4.6394057578132735E+000    -8.9949540952853955E+000     4.1754967869308306E+000 
                         36     9.9999999925046523E-001     1.1905922302005587E+000     4.6447839521507452E+000    -8.9802909130985853E+000     4.1964832943849171E+000 
                         37     9.9999999918808735E-001     1.1904879230042424E+000     4.6514924012689116E+000    -8.9611112721700401E+000     4.2230006155060629E+000 
                         38     9.9999999912570947E-001     1.1903880516589969E+000     4.6577828152329017E+000    -8.9427277488031169E+000     4.2480131146080815E+000 
                         39     9.9999999906333159E-001     1.1902922548860959E+000     4.6637025112292596E+000    -8.9250746004303334E+000     4.2716831375255238E+000 
                         40     9.9999999900095371E-001     1.1902002142762482E+000     4.6692913477886728E+000    -8.9080945499924677E+000     4.2941488887328711E+000 
                         41     9.9999999893857583E-001     1.1901116475996016E+000     4.6745831748870348E+000    -8.8917386876442333E+000     4.3155253100028714E+000 
                         42     9.9999999887619795E-001     1.1900263031359415E+000     4.6796070080881860E+000    -8.8759607259684223E+000     4.3359163652945805E+000 
                         43     9.9999999881382007E-001     1.1899439559183005E+000     4.6843880080516902E+000    -8.8607259042021251E+000     4.3554050098773498E+000 
                         44     9.9999999875144219E-001     1.1898644028455867E+000     4.6912088894521187E+000    -8.8392376261398073E+000     4.3831120251215197E+000 
                         45     9.9999999862668632E-001     1.1897128565548178E+000     4.6974845301884374E+000    -8.8179664669402129E+000     4.4091917973295560E+000 
                         46     9.9999999856430843E-001     1.1896406494716916E+000     4.7014904017844605E+000    -8.8045986756016905E+000     4.4257569467563345E+000 
                         47     9.9999999850193055E-001     1.1895705966875518E+000     4.7072525964976313E+000    -8.7856034205812250E+000     4.4494934965104438E+000 
                         48     9.9999999837717468E-001     1.1894363923615385E+000     4.7126242502579396E+000    -8.7668717163914653E+000     4.4720266887529254E+000 
                         49     9.9999999831479680E-001     1.1893720787935125E+000     4.7160752071680934E+000    -8.7550185416846951E+000     4.4864337416143760E+000 
                         50     9.9999999825241892E-001     1.1893094693542396E+000     4.7210690246159990E+000    -8.7380864674846066E+000     4.5071946834021626E+000 
                         51     9.9999999812766305E-001     1.1891889623191632E+000     4.7273228142565875E+000    -8.7162619701408506E+000     4.5334474209404414E+000 
                         52     9.9999999800290718E-001     1.1890742683171800E+000     4.7332107436000284E+000    -8.6955612381962055E+000     4.5582274480827882E+000 
                         53     9.9999999787815130E-001     1.1889648282938881E+000     4.7387742412226128E+000    -8.6758846203603088E+000     4.5816937774053148E+000 
                         54     9.9999999775339543E-001     1.1888601586553602E+000     4.7440483295195035E+000    -8.6571433078964155E+000     4.6039774013529700E+000 
                         55     9.9999999762863956E-001     1.1887598388000971E+000     4.7490627974411534E+000    -8.6392706434698958E+000     4.6251922156171004E+000 
                         56     9.9999999750388369E-001     1.1886634982273712E+000     4.7562121336482095E+000    -8.6143534231846477E+000     4.6552164662366478E+000 
                         57     9.9999999725437194E-001     1.1884813857685532E+000     4.7627885157938143E+000    -8.5902065553980709E+000     4.6833427126544160E+000 
                         58     9.9999999712961607E-001     1.1883951742484342E+000     4.7669852728513593E+000    -8.5751670462700265E+000     4.7011440832492815E+000 
