                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                         50                         704     1.2800000000000000E+002     2.0000000000000000E-002     4.5497190750010674E-001     7.5836984583351114E-002     2.0865927954151717E+004     1.6179142103205374E+006     9.7467802398281492E+001    -9.6757662296295184E+000     6.9999999999999674E-001     2.9797635254457859E-005     2.7997020236474879E-001     3.4416106108118849E-003     1.0081585468367800E-003     9.3604466091399725E-003     2.0994599496976483E-003     1.2800000000000000E+002     0.0000000000000000E+000     8.9599999999999937E+001     3.8140973121939753E-003     3.5836185902687838E+001     4.4052615818394020E-001     1.2904429399508577E-001     1.1981371659699176E+000     2.6873087356129910E-001     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     1.2799999660809152E+002     9.6359392857212498E+001     1.2799996539989391E+002     9.3595293249923287E+001     8.5156998953596572E+005     2.4388372217396291E+003     7.9114207158512401E+005     3.7714823433780049E-003     3.7714823433780040E-003     1.1242981526263673E-059     1.5091644431710906E-004     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     1.9888611741588365E+000     4.3194492664740372E+000    -1.0270758304427838E+001     2.7929430613358588E+000 
                          2     9.9999999999900002E-001     1.9888606483254476E+000     4.3194775556264267E+000    -1.0270560595114141E+001     2.7930820091330881E+000 
                          3     9.9999999999755329E-001     1.9888598879168164E+000     4.3195110031840773E+000    -1.0270327755944932E+001     2.7932462137711602E+000 
                          4     9.9999999999610656E-001     1.9888591279117662E+000     4.3195525979782126E+000    -1.0270037220927192E+001     2.7934508140054453E+000 
                          5     9.9999999999395417E-001     1.9888579979863550E+000     4.3196023321487234E+000    -1.0269690402803343E+001     2.7936951731184889E+000 
                          6     9.9999999999180178E-001     1.9888568689541086E+000     4.3196890645380721E+000    -1.0269084299109254E+001     2.7941218207796656E+000 
                          7     9.9999999998644440E-001     1.9888540625701392E+000     4.3198127207406891E+000    -1.0268223543904584E+001     2.7947293385185414E+000 
                          8     9.9999999998108702E-001     1.9888512616885636E+000     4.3199853682103830E+000    -1.0267024907067686E+001     2.7955767734445534E+000 
                          9     9.9999999997147182E-001     1.9888462485505078E+000     4.3202068096354020E+000    -1.0265497266871149E+001     2.7966622598361588E+000 
                         10     9.9999999996185662E-001     1.9888412528426000E+000     4.3204955452051772E+000    -1.0263510789400090E+001     2.7980762961834391E+000 
                         11     9.9999999994635991E-001     1.9888332376736648E+000     4.3208511186563525E+000    -1.0261077701257431E+001     2.7998155560285554E+000 
                         12     9.9999999993086319E-001     1.9888252668432149E+000     4.3213831468318205E+000    -1.0257471172824518E+001     2.8024110873682306E+000 
                         13     9.9999999989986965E-001     1.9888094557204363E+000     4.3223529901706401E+000    -1.0250985332025916E+001     2.8071265544658677E+000 
                         14     9.9999999984571541E-001     1.9887822347759714E+000     4.3235770985937991E+000    -1.0242938411971808E+001     2.8130529346733608E+000 
