                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        950                         976     1.0000000000000000E+000     2.0000000000000000E-002     1.0992356650232399E+010     8.5596981812642645E+006     5.3716481594866136E+003     2.1846694792151817E+000     1.7089784623586006E+000     2.5454923454974083E+000     2.1362322344057456E-035     0.0000000000000000E+000     9.8011248006853580E-001     5.4829459128388452E-005     9.6980083857548614E-003     3.9448978533649049E-003     2.0994599496991966E-003     1.0000000000000000E+000     0.0000000000000000E+000     5.6903779644264629E-001     9.7981975750233846E-004     4.0987707866936568E-001     2.2772189641195486E-003     2.9879364760268179E-003     8.6503654571284654E-003     2.0994599496976549E-003     1.0027525325588266E-001     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9999999941670481E-001     1.7083776106230779E+000     9.9999999905017867E-001     1.7080861088566535E+000     2.2368582092095920E+004     6.2871990196583439E+006     4.5773514461292286E+009     2.1953589662391670E+000     2.1953589662391688E+000     9.2753097546279293E-033     1.2865214797546107E-001     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     2.3273658949794382E-001     3.7301865423518250E+000    -6.9768153298867235E+000     4.5577151094761081E+000 
                          2     9.9999999999900002E-001     2.3273620217897986E-001     3.7303643731715264E+000    -6.9755748432650231E+000     4.5591328946631320E+000 
                          3     9.9999999999775002E-001     2.3273571940973686E-001     3.7305623503738627E+000    -6.9742041019952001E+000     4.5607029370264751E+000 
                          4     9.9999999999650002E-001     2.3273523816023081E-001     3.7308598555431236E+000    -6.9721566997542368E+000     4.5630481388641497E+000 
                          5     9.9999999999400002E-001     2.3273428018330186E-001     3.7314570855842812E+000    -6.9681021650144634E+000     4.5677013217015894E+000 
                          6     9.9999999998900002E-001     2.3273238201465898E-001     3.7321092622114489E+000    -6.9637710360257090E+000     4.5726847520812228E+000 
                          7     9.9999999998587508E-001     2.3273120741926817E-001     3.7326131940852747E+000    -6.9604801070702829E+000     4.5764801029159319E+000 
                          8     9.9999999998275013E-001     2.3273004168148287E-001     3.7333723806670935E+000    -6.9556087415487102E+000     4.5821120173816361E+000 
                          9     9.9999999997650013E-001     2.3272773618368917E-001     3.7351591327929059E+000    -6.9445329759200174E+000     4.5949784172213590E+000 
                         10     9.9999999996087519E-001     2.3272211741905446E-001     3.7377720214812649E+000    -6.9294097111083923E+000     4.6127197356930356E+000 
                         11     9.9999999994525024E-001     2.3271669073992035E-001     3.7404431292203726E+000    -6.9150398088013052E+000     4.6297660231938140E+000 
                         12     9.9999999992962529E-001     2.3271144048662085E-001     3.7429015798866510E+000    -6.9027136006685552E+000     4.6445554961880964E+000 
                         13     9.9999999991712529E-001     2.3270735768728704E-001     3.7448484428610187E+000    -6.8934983434126238E+000     4.6557218480496072E+000 
                         14     9.9999999990775035E-001     2.3270435980440435E-001     3.7471027416691380E+000    -6.8833378236545082E+000     4.6681411810643816E+000 
                         15     9.9999999989212540E-001     2.3269947873806318E-001     3.7495602264344847E+000    -6.8729840777946283E+000     4.6809585033603716E+000 
                         16     9.9999999988118793E-001     2.3269614239016156E-001     3.7516934574267271E+000    -6.8644801172792658E+000     4.6916025811249451E+000 
                         17     9.9999999986946919E-001     2.3269263696373502E-001     3.7546960155105396E+000    -6.8532281478149502E+000     4.7058657585129362E+000 
                         18     9.9999999984993793E-001     2.3268694382936234E-001     3.7582085131865450E+000    -6.8412459977509492E+000     4.7213732762338889E+000 
                         19     9.9999999983431298E-001     2.3268251310781768E-001     3.7606280524344817E+000    -6.8336354944206503E+000     4.7314122614506893E+000 
                         20     9.9999999982650045E-001     2.3268033618079798E-001     3.7630852431164001E+000    -6.8262886307243162E+000     4.7412240214040633E+000 
                         21     9.9999999981087551E-001     2.3267605526497476E-001     3.7677599490849056E+000    -6.8135455004592833E+000     4.7586583509929321E+000 
                         22     9.9999999978353171E-001     2.3266877999789848E-001     3.7732467049048570E+000    -6.8007968256363638E+000     4.7769132484420780E+000 
                         23     9.9999999976400045E-001     2.3266373349283934E-001     3.7775885371524489E+000    -6.7919501816279748E+000     4.7901168952640267E+000 
                         24     9.9999999974837550E-001     2.3265977757229830E-001     3.7836430310622244E+000    -6.7810259507749153E+000     4.8071214293010902E+000 
                         25     9.9999999971712550E-001     2.3265206195226823E-001     3.7903899240744723E+000    -6.7714405384524801E+000     4.8234875290236854E+000 
                         26     9.9999999970150055E-001     2.3264828820633596E-001     3.7951334884272199E+000    -6.7656326467301362E+000     4.8340657262100768E+000 
                         27     9.9999999968587561E-001     2.3264456449495241E-001     3.8001760910018763E+000    -6.7603797942361581E+000     4.8443920412693000E+000 
                         28     9.9999999967025066E-001     2.3264088545703238E-001     3.8055602517779454E+000    -6.7557128794032462E+000     4.8544798463787942E+000 
                         29     9.9999999965462572E-001     2.3263724565027122E-001     3.8113345027663210E+000    -6.7516746270887138E+000     4.8643374960010242E+000 
                         30     9.9999999963900077E-001     2.3263363944084400E-001     3.8175494683692968E+000    -6.7483075098909771E+000     4.8739770755853167E+000 
                         31     9.9999999962337582E-001     2.3263006099372416E-001     3.8225721632394207E+000    -6.7462924992818110E+000     4.8810682264956577E+000 
                         32     9.9999999961556330E-001     2.3262828001948974E-001     3.8260316431383394E+000    -6.7451275308529643E+000     4.8857335815167779E+000 
                         33     9.9999999960775077E-001     2.3262650379438279E-001     3.8313842438745134E+000    -6.7436450721507812E+000     4.8926377230596776E+000 
                         34     9.9999999959212582E-001     2.3262296338473096E-001     3.8389148089639775E+000    -6.7422540572855549E+000     4.9016771818082274E+000 
                         35     9.9999999957650088E-001     2.3261943421044914E-001     3.8466310533479149E+000    -6.7412602664899026E+000     4.9105307156118361E+000 
                         36     9.9999999956087593E-001     2.3261591301695997E-001     3.8543223522308194E+000    -6.7404412057692822E+000     4.9192101268636295E+000 
                         37     9.9999999954525098E-001     2.3261239837261979E-001     3.8618153478371724E+000    -6.7396252957898408E+000     4.9277180034017691E+000 
                         38     9.9999999952962604E-001     2.3260889023996331E-001     3.8689973436294127E+000    -6.7386933591562626E+000     4.9360637760776100E+000 
                         39     9.9999999951400109E-001     2.3260538954246598E-001     3.8758094886198178E+000    -6.7375737052590949E+000     4.9442505716689817E+000 
                         40     9.9999999949837615E-001     2.3260189777415660E-001     3.8822308115234248E+000    -6.7362338693601913E+000     4.9522891893178889E+000 
                         41     9.9999999948275120E-001     2.3259841667781850E-001     3.8912469764785365E+000    -6.7339256929255189E+000     4.9640714419089544E+000 
                         42     9.9999999945150120E-001     2.3259149114053471E-001     3.9018663716202315E+000    -6.7299840027050548E+000     4.9793039190654174E+000 
                         43     9.9999999942025120E-001     2.3258462784872189E-001     3.9112501664192814E+000    -6.7253876694883470E+000     4.9940183581383844E+000 
                         44     9.9999999938900119E-001     2.3257783649089794E-001     3.9195956254692192E+000    -6.7202750964888729E+000     5.0082525714518278E+000 
                         45     9.9999999935775119E-001     2.3257112430005888E-001     3.9270722379725069E+000    -6.7147776243383852E+000     5.0220360967180335E+000 
