                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        100                         710     1.2800000000000000E+002     2.0000000000000000E-002     4.0845282125265999E+002     1.4759997823438132E+001     2.1524645574606166E+004     1.9557075352427482E+006     1.0070215694528515E+002    -9.3091770410563761E+000     6.9999999999546492E-001     2.9797639433246935E-005     2.7997020236489090E-001     3.4416106095457241E-003     1.0081585483140030E-003     9.3604466091399326E-003     2.0994599496976488E-003     1.2800000000000000E+002     0.0000000000000000E+000     8.9599999999858852E+001     3.8140974452212924E-003     3.5836185902691120E+001     4.4052615815509177E-001     1.2904429402874196E-001     1.1981371659699163E+000     2.6873087356129899E-001     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     1.2799999601354965E+002     9.9036717824964271E+001     1.2799995874237986E+002     9.4944014846224363E+001     8.9430723848467937E+005     1.9527956382359685E+003     6.5449458926440275E+005     3.2320087816437491E-002     3.2320087816437477E-002     4.0274421044024508E-053     1.3508435554120675E-003     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     2.0030387728317001E+000     4.3329459451899091E+000    -1.0362096311804160E+001     2.8199880232622125E+000 
                          2     9.9999999999900002E-001     2.0030381844577128E+000     4.3329702464545159E+000    -1.0361926407319691E+001     2.8201029418099881E+000 
                          3     9.9999999999755329E-001     2.0030373335540816E+000     4.3329989798270292E+000    -1.0361726035771527E+001     2.8202384118778396E+000 
                          4     9.9999999999610656E-001     2.0030364830379455E+000     4.3330347133065397E+000    -1.0361476927657259E+001     2.8204069902798832E+000 
                          5     9.9999999999395417E-001     2.0030352184250111E+000     4.3330774412171600E+000    -1.0361176161888590E+001     2.8206088730316510E+000 
                          6     9.9999999999180178E-001     2.0030339546765323E+000     4.3331519592010421E+000    -1.0360658586637950E+001     2.8209602863649179E+000 
                          7     9.9999999998644440E-001     2.0030308127890768E+000     4.3332582127492207E+000    -1.0359918090647687E+001     2.8214617027080156E+000 
                          8     9.9999999998108702E-001     2.0030276761861283E+000     4.3334065815123948E+000    -1.0358887993412109E+001     2.8221612848630966E+000 
                          9     9.9999999997147182E-001     2.0030220599622419E+000     4.3335969212236991E+000    -1.0357570159411441E+001     2.8230578416575987E+000 
                         10     9.9999999996185662E-001     2.0030164605376326E+000     4.3338451591216032E+000    -1.0355860040519346E+001     2.8242261605217820E+000 
                         11     9.9999999994635991E-001     2.0030074709914065E+000     4.3341509618053529E+000    -1.0353766641620060E+001     2.8256633088279903E+000 
                         12     9.9999999993086319E-001     2.0029985241183432E+000     4.3346086912903896E+000    -1.0350656749690332E+001     2.8278109870956527E+000 
                         13     9.9999999989986965E-001     2.0029807564085935E+000     4.3354436866797581E+000    -1.0345058857333916E+001     2.8317180473731813E+000 
                         14     9.9999999984571541E-001     2.0029501037632662E+000     4.3364988404268141E+000    -1.0338098875939854E+001     2.8366384607719679E+000 
