                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                       1350                        1336     1.0000000000000000E+000     2.0000000000000000E-002     1.1791977161673786E+010     4.2942766863404796E+005     4.7281814847128489E+003     1.0822396983086644E+001     4.9094437757506695E+000     1.3152690461208547E+001     1.0000000000000118E-099     1.0000004510709263E-099     9.8011248006853580E-001     5.4829459128385755E-005     9.6980083857548614E-003     3.9448978533649049E-003     2.0994599496991966E-003     1.0000000000000000E+000     0.0000000000000000E+000     5.3924039221431463E-001     1.0234971627468622E-003     4.3969916020734257E-001     2.2828462932181336E-003     3.4532890456956417E-003     8.1110308434707290E-003     2.0994599496976557E-003     1.9356199896250437E-001     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9999998167250359E-001     4.9042408786256955E+000     9.9999997297297050E-001     4.9023617951218101E+000     1.0891357348717343E+005     4.4179804295346345E+005     9.2400971943905818E+008     1.0787462990912678E+001     1.0787462990912676E+001     3.1094466704846549E-022     7.4016755293643455E-001     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     6.9103229073682881E-001     3.6746975370790289E+000    -7.3886196586169550E+000     4.0903760853055893E+000 
                          2     9.9999999999900002E-001     6.9103224856859080E-001     3.6747051851629964E+000    -7.3885663104915222E+000     4.0904360859696087E+000 
                          3     9.9999999999775002E-001     6.9103219586474818E-001     3.6747136835436538E+000    -7.3885066165599840E+000     4.0905041625774414E+000 
                          4     9.9999999999650002E-001     6.9103214316813100E-001     3.6747264317979833E+000    -7.3884178325509593E+000     4.0906060963067494E+000 
                          5     9.9999999999400002E-001     6.9103203779638045E-001     3.6747519312205235E+000    -7.3882395348136933E+000     4.0908099637683906E+000 
                          6     9.9999999998900002E-001     6.9103182713915479E-001     3.6747795627280806E+000    -7.3880461930561321E+000     4.0910307597964355E+000 
                          7     9.9999999998587508E-001     6.9103169553683319E-001     3.6748008207567189E+000    -7.3878981995361697E+000     4.0912014431105366E+000 
                          8     9.9999999998275013E-001     6.9103156397923149E-001     3.6748327122041471E+000    -7.3876749103850354E+000     4.0914550609378004E+000 
                          9     9.9999999997650013E-001     6.9103130099891064E-001     3.6749071461999048E+000    -7.3871564961649314E+000     4.0920483864632278E+000 
                         10     9.9999999996087519E-001     6.9103064433035255E-001     3.6750667622094562E+000    -7.3860491096423218E+000     4.0933143507920891E+000 
                         11     9.9999999992962518E-001     6.9102933432888514E-001     3.6753012213194318E+000    -7.3844287915230300E+000     4.0951696039047416E+000 
                         12     9.9999999989212518E-001     6.9102776816565270E-001     3.6755734611118869E+000    -7.3825630653388989E+000     4.0973072753206727E+000 
                         13     9.9999999984993770E-001     6.9102601376491490E-001     3.6760654143820095E+000    -7.3792246575631735E+000     4.1011361905298820E+000 
                         14     9.9999999974837517E-001     6.9102182246339827E-001     3.6766833933737733E+000    -7.3750969625059382E+000     4.1058764693025038E+000 
