                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        150                         773     1.2800000000000000E+002     2.0000000000000000E-002     1.0034510583574119E+003     1.1128221834294971E+001     2.5232035817097432E+004     2.1270141068172744E+006     7.6425702009616842E+001    -8.8552625179908393E+000     6.9999999988964623E-001     2.9797622471906474E-005     2.7997020239852310E-001     3.4416100746125621E-003     1.0081591724575574E-003     9.3604466090772172E-003     2.0994599496976479E-003     1.2800000000000000E+002     0.0000000000000000E+000     8.9599999994295061E+001     3.8140967800513784E-003     3.5836185904399677E+001     4.4052613103045390E-001     1.2904432567692858E-001     1.1981371659667439E+000     2.6873087356129921E-001     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     1.2799999761134544E+002     7.4789559756849599E+001     1.2799997499022886E+002     7.1751530702237616E+001     5.9127258323913114E+005     2.3658634306973322E+003     6.0178256265319686E+005     4.7106242711232298E+000     4.7106242711232316E+000     1.2761534857250089E-045     2.5282376472023116E-001     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     1.8832394366359753E+000     4.4019695521265083E+000    -1.0280942814855731E+001     3.0759141100609457E+000 
                          2     9.9999999999900002E-001     1.8832383200330318E+000     4.4020115729774671E+000    -1.0280648677621343E+001     3.0761059136894526E+000 
                          3     9.9999999999755329E-001     1.8832367056618875E+000     4.4020612538739750E+000    -1.0280301927543306E+001     3.0763326724554667E+000 
                          4     9.9999999999610656E-001     1.8832350925611974E+000     4.4021230329082996E+000    -1.0279872379109101E+001     3.0766144967027240E+000 
                          5     9.9999999999395417E-001     1.8832326950594027E+000     4.4021968960699285E+000    -1.0279356941610269E+001     3.0769514765252310E+000 
                          6     9.9999999999180178E-001     1.8832303003617303E+000     4.4023256954501555E+000    -1.0278464223362691E+001     3.0775389009568688E+000 
                          7     9.9999999998644440E-001     1.8832243518073766E+000     4.4025092980334746E+000    -1.0277195793228390E+001     3.0783752651878267E+000 
                          8     9.9999999998108702E-001     1.8832184203580564E+000     4.4027655883188483E+000    -1.0275437021023535E+001     3.0795415166041149E+000 
                          9     9.9999999997147182E-001     1.8832078173598612E+000     4.4030942129949588E+000    -1.0273198591062728E+001     3.0810349059854714E+000 
                         10     9.9999999996185662E-001     1.8831972681001135E+000     4.4035225466084178E+000    -1.0270311376584077E+001     3.0829778044250302E+000 
                         11     9.9999999994635991E-001     1.8831803769766839E+000     4.4040497693855540E+000    -1.0266800302298954E+001     3.0853642011164970E+000 
                         12     9.9999999993086319E-001     1.8831636199124850E+000     4.4048381222998536E+000    -1.0261652075291927E+001     3.0889197249999110E+000 
                         13     9.9999999989986965E-001     1.8831304950164129E+000     4.4062735648669413E+000    -1.0252553993059959E+001     3.0953587974182755E+000 
                         14     9.9999999984571541E-001     1.8830737989480755E+000     4.4080820145717761E+000    -1.0241516487771191E+001     3.1034185971482811E+000 
                         15     9.9999999979156118E-001     1.8830185042585112E+000     4.4107344591136828E+000    -1.0226310087261588E+001     3.1151090751951962E+000 
                         16     9.9999999968508013E-001     1.8829134636601452E+000     4.4141843206130993E+000    -1.0207749861673475E+001     3.1301520084429297E+000 
                         17     9.9999999957859909E-001     1.8828127460065285E+000     4.4192118246038374E+000    -1.0183594834871956E+001     3.1516624714571049E+000 
                         18     9.9999999936774864E-001     1.8826239090992478E+000     4.4240430575859122E+000    -1.0161864718264397E+001     3.1721258065085802E+000 
                         19     9.9999999926232341E-001     1.8825340121629079E+000     4.4271941161099457E+000    -1.0149087404357358E+001     3.1852619573630276E+000 
                         20     9.9999999915689819E-001     1.8824466680900225E+000     4.4318130619834095E+000    -1.0132115838569247E+001     3.2042456942552824E+000 
                         21     9.9999999894637270E-001     1.8822787857553365E+000     4.4377371428098007E+000    -1.0111889339390347E+001     3.2283562523844789E+000 
                         22     9.9999999873584722E-001     1.8821183611559262E+000     4.4434333327054105E+000    -1.0094411840536416E+001     3.2512310361464003E+000 
