                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                       2100                        1478     1.0000000000000000E+000     2.0000000000000000E-002     1.1920367739804377E+010     8.9357733679265089E+004     4.5096552240035689E+003     3.1733620114925355E+001     9.2412765195311835E+000     1.5963554105697645E+001     1.0000000000055494E-099     1.0000004510709265E-099     9.8011248006853546E-001     5.4829459127195599E-005     9.6980083857548614E-003     3.9448978533664584E-003     2.0994599496993072E-003     1.0000000000000000E+000     0.0000000000000000E+000     5.1310840392248080E-001     9.9909555961878184E-004     4.6590574373549248E-001     2.2716227402320641E-003     3.8308327683095385E-003     7.6945170406552332E-003     2.0994599496976501E-003     2.4353539327124521E-001     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9999987466288454E-001     9.2229322592605509E+000     9.9999982526714837E-001     9.2172826124799112E+000     2.8127525024819194E+005     8.0043847342673340E+004     3.1512320257771897E+008     3.1606411439122564E+001     3.1606411439122549E+001     9.7734856335952424E-017     2.1665777155239105E+000     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     9.6573196549471541E-001     3.6541438756440972E+000    -7.6643592110023500E+000     3.7941752123096291E+000 
                          2     9.9999999999900002E-001     9.6573195356511299E-001     3.6541450805361571E+000    -7.6643510353779769E+000     3.7941845822676417E+000 
                          3     9.9999999999775002E-001     9.6573193865339169E-001     3.6541464193196931E+000    -7.6643415221488436E+000     3.7941954534500106E+000 
                          4     9.9999999999650002E-001     9.6573192374199457E-001     3.6541484275175997E+000    -7.6643282262601753E+000     3.7942111390644455E+000 
                          5     9.9999999999400002E-001     9.6573189392010439E-001     3.6541524440033877E+000    -7.6642985998683466E+000     3.7942452019831299E+000 
                          6     9.9999999998900002E-001     9.6573183428038201E-001     3.6541567953958296E+000    -7.6642691051282821E+000     3.7942790063100427E+000 
                          7     9.9999999998587508E-001     9.6573179700807310E-001     3.6541601427057211E+000    -7.6642454591611022E+000     3.7943049937114064E+000 
                          8     9.9999999998275013E-001     9.6573175973778236E-001     3.6541651638044863E+000    -7.6642101489029528E+000     3.7943457347646383E+000 
                          9     9.9999999997650013E-001     9.6573168520323693E-001     3.6541768803230137E+000    -7.6641281921847604E+000     3.7944388623007916E+000 
                         10     9.9999999996087519E-001     9.6573149890186039E-001     3.6542019904823930E+000    -7.6639536547602596E+000     3.7946390451329051E+000 
                         11     9.9999999992962518E-001     9.6573112644810477E-001     3.6542388289919194E+000    -7.6636960625408790E+000     3.7949342196867066E+000 
                         12     9.9999999989212518E-001     9.6573067976735294E-001     3.6542815423538517E+000    -7.6633978699122904E+000     3.7952750171499612E+000 
                         13     9.9999999984993770E-001     9.6573017759477364E-001     3.6543586198816178E+000    -7.6628606701423232E+000     3.7958875314062448E+000 
                         14     9.9999999974837517E-001     9.6572897014812664E-001     3.6544550568337684E+000    -7.6621866277207564E+000     3.7966549965641798E+000 
                         15     9.9999999967025022E-001     9.6572804277660163E-001     3.6545389699180411E+000    -7.6615910810861543E+000     3.7973194881229562E+000 
                         16     9.9999999959212527E-001     9.6572711666997646E-001     3.6546565199281162E+000    -7.6607243470154982E+000     3.7982482302087770E+000 
                         17     9.9999999945150031E-001     9.6572545298671741E-001     3.6549002585608088E+000    -7.6586793075986712E+000     3.8001674421772424E+000 
                         18     9.9999999913900028E-001     9.6572177321303709E-001     3.6551866486151772E+000    -7.6560643699634472E+000     3.8024066404681953E+000 
                         19     9.9999999892025027E-001     9.6571921277912021E-001     3.6555112924134905E+000    -7.6528997529136999E+000     3.8049274956680161E+000 
                         20     9.9999999853743782E-001     9.6571476444381343E-001     3.6558450922402881E+000    -7.6495395442386060E+000     3.8075005891128311E+000 
                         21     9.9999999830306285E-001     9.6571206189710423E-001     3.6561623487552373E+000    -7.6465991161130251E+000     3.8099283312696510E+000 
                         22     9.9999999795150041E-001     9.6570803533749328E-001     3.6565227129101610E+000    -7.6432732795284544E+000     3.8126631521713206E+000 
                         23     9.9999999763900038E-001     9.6570448338505466E-001     3.6570111480980465E+000    -7.6392092060202836E+000     3.8163358515086290E+000 
                         24     9.9999999705306286E-001     9.6569788527484302E-001     3.6575229607941337E+000    -7.6352280914885844E+000     3.8201376475475137E+000 
                         25     9.9999999670150042E-001     9.6569396239069361E-001     3.6580571463422666E+000    -7.6312266382686946E+000     3.8240606169012925E+000 
                         26     9.9999999607650036E-001     9.6568705207715966E-001     3.6586579825428958E+000    -7.6270485998551054E+000     3.8284151423423394E+000 
                         27     9.9999999560775032E-001     9.6568191874882603E-001     3.6594324454142995E+000    -7.6219099083560709E+000     3.8339492285986920E+000 
                         28     9.9999999467025036E-001     9.6567177231875112E-001     3.6604711831423402E+000    -7.6152973114235705E+000     3.8412216254148719E+000 
                         29     9.9999999373275039E-001     9.6566177851354329E-001     3.6614285024853865E+000    -7.6094990201234260E+000     3.8477824056370742E+000 
                         30     9.9999999295150044E-001     9.6565356027655014E-001     3.6627385675474731E+000    -7.6018413904730719E+000     3.8565739238202430E+000 
                         31     9.9999999138900042E-001     9.6563740971675671E-001     3.6652695107854871E+000    -7.5877716489508664E+000     3.8729572197746882E+000 
                         32     9.9999998845570814E-001     9.6560805205838618E-001     3.6681783112024320E+000    -7.5727275466152841E+000     3.8908249369088783E+000 
                         33     9.9999998628924680E-001     9.6558710377795887E-001     3.6706654384176178E+000    -7.5605521026025082E+000     3.9054542716432099E+000 
                         34     9.9999998412278546E-001     9.6556673171941465E-001     3.6734155134643767E+000    -7.5477526685580045E+000     3.9209983130120341E+000 
                         35     9.9999998152303182E-001     9.6554299160018975E-001     3.6759306394551072E+000    -7.5365969469602421E+000     3.9346659393142964E+000 
                         36     9.9999997978986277E-001     9.6552756413174701E-001     3.6787008017215377E+000    -7.5248100621832368E+000     3.9492196865261229E+000 
                         37     9.9999997675681684E-001     9.6550128515867550E-001     3.6819446826538567E+000    -7.5116841126786342E+000     3.9655911014429477E+000 
                         38     9.9999997423623699E-001     9.6548009300385129E-001     3.6857208905530658E+000    -7.4971723923010032E+000     3.9838841721568730E+000 
                         39     9.9999997029918331E-001     9.6544807353732542E-001     3.6894234503572947E+000    -7.4837459189183173E+000     4.0010221873431000E+000 
                         40     9.9999996793695112E-001     9.6542944345200710E-001     3.6922023143876279E+000    -7.4741066660544009E+000     4.0134473583083849E+000 
                         41     9.9999996557471893E-001     9.6541121999060442E-001     3.6954494026943849E+000    -7.4633012348036187E+000     4.0275095110254391E+000 
                         42     9.9999996242507605E-001     9.6538751569425185E-001     3.6991754125733531E+000    -7.4515018331316432E+000     4.0430466719558096E+000 
                         43     9.9999995927543317E-001     9.6536444302545743E-001     3.7038505881442618E+000    -7.4375146500522940E+000     4.0617204725039642E+000 
                         44     9.9999995455096879E-001     9.6533092435417789E-001     3.7095235634613735E+000    -7.4217933705520416E+000     4.0831253203153457E+000 
                         45     9.9999994982650442E-001     9.6529858999230234E-001     3.7152958860655776E+000    -7.4070810588189619E+000     4.1036178968712598E+000 
                         46     9.9999994506027856E-001     9.6526704940027663E-001     3.7202099753364326E+000    -7.3955598754066321E+000     4.1200635258651443E+000 
                         47     9.9999994188279462E-001     9.6524656914195339E-001     3.7251737704412613E+000    -7.3846885734415526E+000     4.1359097117468746E+000 
