                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        250                         921     1.2800000000000000E+002     2.0000000000000000E-002     2.3651902135729015E+003     1.7427996040235357E+001     3.6017586458238766E+004     2.1249334195722193E+006     3.7488864406799792E+001    -8.1395851541625035E+000     6.9999890343753490E-001     2.9540778190698717E-005     2.7997039808209334E-001     3.4346613713159752E-003     1.0162695237250748E-003     9.3604425739288264E-003     2.0994599496976483E-003     1.2800000000000000E+002     0.0000000000000000E+000     8.9599921296006812E+001     3.7956582437738240E-003     3.5836199953592043E+001     4.4002738812653158E-001     1.2962644569440365E-001     1.1981368764853326E+000     2.6873087356129927E-001     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     1.2799999940010802E+002     3.6830372713978825E+001     1.2799999392489009E+002     3.5872271656541287E+001     2.0313371655104248E+005     4.8278288562424023E+003     6.0237181466969592E+005     4.0263136881545593E+004     4.0263136881545608E+004     1.7156658523768946E-034     2.6110329258888396E+003     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     1.5739022851980224E+000     4.5565939137772089E+000    -1.0049068341119760E+001     3.6697489018470515E+000 
                          2     9.9999999999900002E-001     1.5738967383994633E+000     4.5567872657242994E+000    -1.0047730420508104E+001     3.6705926503675914E+000 
                          3     9.9999999999755329E-001     1.5738887378566617E+000     4.5570156037534852E+000    -1.0046157108852059E+001     3.6715884339445228E+000 
                          4     9.9999999999610656E-001     1.5738807658050789E+000     4.5572991982506581E+000    -1.0044219450226866E+001     3.6728238495826995E+000 
                          5     9.9999999999395417E-001     1.5738689576211742E+000     4.5576376868324360E+000    -1.0041926349171550E+001     3.6742969142588322E+000 
                          6     9.9999999999180178E-001     1.5738572106652269E+000     4.5582267526986717E+000    -1.0038001479942535E+001     3.6768553385728149E+000 
                          7     9.9999999998644440E-001     1.5738282303899269E+000     4.5590629337855386E+000    -1.0032512767421620E+001     3.6804806081730344E+000 
                          8     9.9999999998108702E-001     1.5737996083754064E+000     4.5602245889524813E+000    -1.0025127554577699E+001     3.6854974908794809E+000 
                          9     9.9999999997147182E-001     1.5737490916110903E+000     4.5617024551699767E+000    -1.0015983174535400E+001     3.6918603419398215E+000 
                         10     9.9999999996185662E-001     1.5736996103063612E+000     4.5636121024028657E+000    -1.0004728353382356E+001     3.7000350366832189E+000 
                         11     9.9999999994635991E-001     1.5736218675815650E+000     4.5659320192282999E+000    -9.9915717132393684E+000     3.7099235544364233E+000 
                         12     9.9999999993086319E-001     1.5735464047796248E+000     4.5693501376217904E+000    -9.9737067119855407E+000     3.7243566248202815E+000 
                         13     9.9999999989986965E-001     1.5734014513377184E+000     4.5753987854698970E+000    -9.9448963770437260E+000     3.7496405943623570E+000 
                         14     9.9999999984571541E-001     1.5731641209417297E+000     4.5808657948293705E+000    -9.9188540779452286E+000     3.7725115364506019E+000 
                         15     9.9999999981863830E-001     1.5730522274200587E+000     4.5844004591185135E+000    -9.9037153743555901E+000     3.7871307483819745E+000 
                         16     9.9999999979156118E-001     1.5729440849477740E+000     4.5894837648480094E+000    -9.8838094519543027E+000     3.8079653649216878E+000 
                         17     9.9999999973832066E-001     1.5727407569336538E+000     4.5958709004762044E+000    -9.8585206507514318E+000     3.8341781207207921E+000 
                         18     9.9999999968508013E-001     1.5725486683534635E+000     4.6019271861406201E+000    -9.8354506846451493E+000     3.8589407551400337E+000 
                         19     9.9999999963183961E-001     1.5723662815984496E+000     4.6076806708065341E+000    -9.8141117648885192E+000     3.8824063005676765E+000 
                         20     9.9999999957859909E-001     1.5721924259749038E+000     4.6131301076565885E+000    -9.7942508129892030E+000     3.9045949725314797E+000 
                         21     9.9999999952588647E-001     1.5720277965268534E+000     4.6183032477479946E+000    -9.7756403999863348E+000     3.9256336366123912E+000 
                         22     9.9999999947317386E-001     1.5718698969724152E+000     4.6232476299443066E+000    -9.7579838991558532E+000     3.9457287169629400E+000 
                         23     9.9999999942046125E-001     1.5717181259320276E+000     4.6279814498398357E+000    -9.7411542107550524E+000     3.9649607099464266E+000 
                         24     9.9999999936774864E-001     1.5715719734788185E+000     4.6347702697375484E+000    -9.7188655778813473E+000     3.9923365723371789E+000 
                         25     9.9999999926232341E-001     1.5712938844943583E+000     4.6410738050873928E+000    -9.6946424426404025E+000     4.0181528329429090E+000 
                         26     9.9999999920961080E-001     1.5711621967459697E+000     4.6451134944463099E+000    -9.6802817977528122E+000     4.0345682735849842E+000 
                         27     9.9999999915689819E-001     1.5710346781454902E+000     4.6509366241398435E+000    -9.6608565441611010E+000     4.0580868104108268E+000 
