                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        347                        1055     1.2800000000000000E+002     2.0000000000000000E-002     1.0136236621943877E+004     4.9554200909298731E+002     4.9594362836886008E+004     1.9473061458354846E+006     1.8928287493029927E+001    -7.5397010132177078E+000     6.9886307192101760E-001     5.1034502325212298E-008     2.8059490760716349E-001     8.4135843529301835E-005     5.0484802759388275E-003     9.2195690846370113E-003     2.0994599496976496E-003     1.2800000000000000E+002     0.0000000000000000E+000     8.9476223506478277E+001     5.7210069007665367E-004     3.5904148220639158E+001     7.4694962254678088E-002     5.6925721248150285E-001     1.1828116156053059E+000     2.6873087356129921E-001     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     1.2799999985104864E+002     1.8756182620398707E+001     1.2799999875211213E+002     1.8326442399216571E+001     7.2877853402876310E+004     1.0434074183842848E+004     6.5731831778860872E+005     1.9493768901719011E+006     1.9493768901719016E+006     3.2689219069175703E-024     1.3652551023752918E+005     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     1.2771113236325597E+000     4.6957511738553928E+000    -9.5008072412396718E+000     4.2403648846518482E+000 
                          2     9.9999999999900002E-001     1.2770991291282838E+000     4.6965292156221885E+000    -9.4954354854313880E+000     4.2438434626413049E+000 
                          3     9.9999999999755329E-001     1.2770817017729759E+000     4.6974434788551545E+000    -9.4892163965302920E+000     4.2479226568061268E+000 
                          4     9.9999999999610656E-001     1.2770645201450377E+000     4.6985729610784990E+000    -9.4817138782090904E+000     4.2529440611535279E+000 
                          5     9.9999999999395417E-001     1.2770393928203487E+000     4.6999110149158136E+000    -9.4730027354058191E+000     4.2588762699936416E+000 
                          6     9.9999999999180178E-001     1.2770147602490396E+000     4.7022196443319366E+000    -9.4586659430696187E+000     4.2690371896538304E+000 
                          7     9.9999999998644440E-001     1.2769554212990921E+000     4.7054364783449323E+000    -9.4392776272792389E+000     4.2831433550890416E+000 
                          8     9.9999999998108702E-001     1.2768986504086561E+000     4.7098147588619899E+000    -9.4148294203391902E+000     4.3021266860086778E+000 
                          9     9.9999999997147182E-001     1.2768022876935228E+000     4.7152012915965376E+000    -9.3859141312358023E+000     4.3253708370078074E+000 
                         10     9.9999999996185662E-001     1.2767120737629691E+000     4.7219215422925789E+000    -9.3530509297602471E+000     4.3539870320786482E+000 
                         11     9.9999999994635991E-001     1.2765771679453957E+000     4.7277572569729180E+000    -9.3241439393723269E+000     4.3789242534475834E+000 
                         12     9.9999999993861155E-001     1.2765140154098449E+000     4.7315143496105740E+000    -9.3069408526120458E+000     4.3947965666341657E+000 
                         13     9.9999999993086319E-001     1.2764532895709499E+000     4.7369587397521045E+000    -9.2836309158312655E+000     4.4175796939551342E+000 
                         14     9.9999999991536648E-001     1.2763381147821344E+000     4.7437926960969348E+000    -9.2540930599119804E+000     4.4462395830419359E+000 
                         15     9.9999999989986976E-001     1.2762304301176324E+000     4.7498318286990546E+000    -9.2285704676770646E+000     4.4714984302667409E+000 
                         16     9.9999999988633115E-001     1.2761416618538788E+000     4.7551910924547869E+000    -9.2066459519983201E+000     4.4938170007447837E+000 
                         17     9.9999999987279253E-001     1.2760572131407653E+000     4.7603033063941407E+000    -9.1860972826247558E+000     4.5150609474525210E+000 
                         18     9.9999999985925392E-001     1.2759766211417614E+000     4.7651894493968756E+000    -9.1667423446503271E+000     4.5353286963130115E+000 
                         19     9.9999999984571530E-001     1.2758994999805027E+000     4.7721866820069394E+000    -9.1408476267911940E+000     4.5640794783485203E+000 
                         20     9.9999999981863819E-001     1.2757540737838586E+000     4.7786698801316740E+000    -9.1146041997673706E+000     4.5910795036075571E+000 
                         21     9.9999999980509957E-001     1.2756855738539978E+000     4.7828204715807265E+000    -9.0988878634216892E+000     4.6082007087271535E+000 
                         22     9.9999999979156096E-001     1.2756194777768195E+000     4.7867870728108448E+000    -9.0839933872238596E+000     4.6245455540710925E+000 
                         23     9.9999999977825083E-001     1.2755566597556278E+000     4.7905844758627483E+000    -9.0698641235388280E+000     4.6401747683088317E+000 
                         24     9.9999999976494069E-001     1.2754958265832426E+000     4.7960783689483000E+000    -9.0504490001577800E+000     4.6626247026467071E+000 
                         25     9.9999999973832043E-001     1.2753794082958947E+000     4.8029580732517809E+000    -9.0252336179321695E+000     4.6908883558699683E+000 
                         26     9.9999999971170017E-001     1.2752694709220247E+000     4.8078249340493446E+000    -9.0069441210449526E+000     4.7109612788228006E+000 
                         27     9.9999999969839004E-001     1.2752167394521556E+000     4.8109713072601110E+000    -8.9956595836694255E+000     4.7238509030015567E+000 
                         28     9.9999999968507991E-001     1.2751653420068085E+000     4.8155509995450414E+000    -8.9798981805021612E+000     4.7425050825761339E+000 
                         29     9.9999999965845965E-001     1.2750661592923678E+000     4.8213448372969321E+000    -8.9593179746640406E+000     4.7662131408447594E+000 
                         30     9.9999999963183939E-001     1.2749715036423077E+000     4.8268500503944152E+000    -8.9399432777844883E+000     4.7887135391903071E+000 
                         31     9.9999999960521913E-001     1.2748809200154994E+000     4.8320947129198482E+000    -8.9216596728150694E+000     4.8101222284230607E+000 
                         32     9.9999999957859886E-001     1.2747940175035875E+000     4.8370781832595622E+000    -8.9044311046795244E+000     4.8304425563101390E+000 
                         33     9.9999999955224261E-001     1.2747112747001841E+000     4.8418250005688446E+000    -8.8881647554717969E+000     4.8497739392237174E+000 
