                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                          1                        1004     2.0000000000000000E+002     2.0000000000000000E-002     1.0000000000000001E-005     1.0000000000000001E-005     3.5351516489299334E+004     4.2474618358038273E+006     5.5018339873346804E+001    -8.0041345358247646E+000     6.9999999993708517E-001     2.9797627780585663E-005     2.7997020237108894E-001     3.4416102260195415E-003     1.0081589963682506E-003     9.3604466084461890E-003     2.0994599496976492E-003     2.0000000000000000E+002     0.0000000000000000E+000     1.3999999999944987E+002     5.9595269755101290E-003     5.5994040473011218E+001     6.8832211877893079E-001     2.0163171331906610E-001     1.8720893218230155E+000     4.1989198993952992E-001     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     1.9999999848887654E+002     5.3365845520554537E+001     1.9999998548518988E+002     5.0860349638472400E+001     2.8892145707543421E+005     4.0179318216623028E+003     4.7086944563952798E+005     5.2460878653426096E+006     5.2460878653426096E+006     2.8894745974016649E-027     3.4850298161105177E+005     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     1.7405074818238910E+000     4.5484569235490477E+000    -1.0368080424819302E+001     3.6172169258130218E+000 
                          2     9.9999999999900002E-001     1.7405017662589051E+000     4.5485764624133251E+000    -1.0367250923629742E+001     3.6177181161863010E+000 
                          3     9.9999999999755329E-001     1.7404935126235443E+000     4.5487176966429290E+000    -1.0366272988335771E+001     3.6183104234774421E+000 
                          4     9.9999999999610656E-001     1.7404852770836252E+000     4.5488931973363620E+000    -1.0365067246267538E+001     3.6190458903181644E+000 
                          5     9.9999999999395417E-001     1.7404730580175616E+000     4.5491028143381094E+000    -1.0363635332548926E+001     3.6199239234511085E+000 
                          6     9.9999999999180178E-001     1.7404608781463085E+000     4.5494679124415445E+000    -1.0361178161213610E+001     3.6214517816352303E+000 
                          7     9.9999999998644440E-001     1.7404307279623388E+000     4.5499870634480244E+000    -1.0357714672596089E+001     3.6236230435617838E+000 
                          8     9.9999999998108702E-001     1.7404008110631204E+000     4.5507097356333652E+000    -1.0353022520776284E+001     3.6266397555189944E+000 
                          9     9.9999999997147182E-001     1.7403476797155240E+000     4.5516321252069964E+000    -1.0347141881649591E+001     3.6304857746431036E+000 
                         10     9.9999999996185662E-001     1.7402952438376793E+000     4.5528283818019561E+000    -1.0339823775245334E+001     3.6354597335784549E+000 
                         11     9.9999999994635991E-001     1.7402121064456855E+000     4.5542896801506636E+000    -1.0331121560324487E+001     3.6415258057212760E+000 
                         12     9.9999999993086319E-001     1.7401305719874711E+000     4.5564563870961656E+000    -1.0319158541306003E+001     3.6504755166714999E+000 
                         13     9.9999999989986965E-001     1.7399718019281269E+000     4.5603375708895761E+000    -1.0299419466895698E+001     3.6664266611331353E+000 
                         14     9.9999999984571541E-001     1.7397063244788171E+000     4.5650965783079736E+000    -1.0276028197954126E+001     3.6859516203124403E+000 
