                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        6794      2.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15 
                    model_number                         star_age                        star_mass                         log_Teff                            log_L                            log_R                     log_center_T                   log_center_Rho                     log_center_P                         log_Lnuc                    log_abs_Lgrav                  v_surf_div_v_kh                     he_core_mass                   mass_conv_core                     center_dL_dm 
                               1          1.0000000000000001E-005          2.0000000000000000E+001          3.5389633112538035E+000          4.3456364092838671E+000          2.6181504185869522E+000          5.4767728131981617E+000         -5.5843806117808814E+000          8.0958692170772437E+000         -2.1816630991514366E+001          4.3456327238343713E+000          1.5667361289680831E+006          0.0000000000000000E+000          7.2440040637734328E-004          2.1356150105168915E+005 
                               5          7.4416000000000000E-005          2.0000000000000000E+001          3.5392807167190536E+000          4.3469419728363201E+000          2.6181683894326797E+000          5.4767727279725227E+000         -5.5843785650542070E+000          8.0958710674143539E+000         -2.1816626072913866E+001          4.3469435250360267E+000          1.4417574888593005E+006          0.0000000000000000E+000          7.2693785897169996E-004          1.0284333280931629E+005 
                              10          2.5958682111999992E-004          2.0000000000000000E+001          3.5400040939479256E+000          4.3499300372687228E+000          2.6182156671911372E+000          5.4767714298016603E+000         -5.5843764040827875E+000          8.0958711725245980E+000         -2.1816624394547340E+001          4.3499299291915907E+000          1.2501896874338987E+006          0.0000000000000000E+000          7.2208175797746732E-004          6.6124083758826353E+004 
                              15          7.2035107872931792E-004          2.0000000000000000E+001          3.5411621908717259E+000          4.3547622129202495E+000          2.6183155611692994E+000          5.4767709619510319E+000         -5.5843702930715535E+000          8.0958743324268330E+000         -2.1816606478862187E+001          4.3547620889405696E+000          1.0395837548420553E+006          0.0000000000000000E+000          7.2163957345271386E-004          4.0102849076993414E+004 
                              20          1.8668799962237360E-003          2.0000000000000000E+001          3.5430246324874384E+000          4.3626497307971297E+000          2.6185344368763142E+000          5.4767741482497305E+000         -5.5843567990447127E+000          8.0958909685057954E+000         -2.1816538296078466E+001          4.3626490567167702E+000          9.3011106707165961E+005          0.0000000000000000E+000          7.0080013804665366E-004          1.9587359678781555E+004 
                              25          4.7198108322034464E-003          2.0000000000000000E+001          3.5470909011053302E+000          4.3799405137159750E+000          2.6190472910999545E+000          5.4767842642727347E+000         -5.5843315863199479E+000          8.0959276386120980E+000         -2.1816376382056465E+001          4.3799387913162366E+000          8.3308272132466268E+005          0.0000000000000000E+000          4.6531483758671210E-004          8.0221373947322745E+003 
                              30          1.1818815689988476E-002          2.0000000000000000E+001          3.5545755559714456E+000          4.4120696319291168E+000          2.6201425404742933E+000          5.4768101179591158E+000         -5.5842729464623746E+000          8.0960137474489589E+000         -2.1815981671346623E+001          4.4120709655055226E+000          6.2970634220670024E+005          0.0000000000000000E+000          1.2067003778265887E-004          1.1644747789006071E+003 
                              35          2.9483411457712123E-002          2.0000000000000000E+001          3.5642515055045587E+000          4.4548189011593617E+000          2.6221652760231886E+000          5.4768752214114240E+000         -5.5841270233885876E+000          8.0962332685195317E+000         -2.1814991272522146E+001          4.4548293078418588E+000          3.9987740008031705E+005          0.0000000000000000E+000          1.1897974492031392E-004          1.2554952764504087E+003 
                              40          7.3438578398454205E-002          2.0000000000000000E+001          3.5728232161988442E+000          4.4953081938176016E+000          2.6252665009637375E+000          5.4770272498500061E+000         -5.5837865583896278E+000          8.0967444397258745E+000         -2.1812743559598008E+001          4.4953122709521010E+000          2.0438813963759260E+005          0.0000000000000000E+000          4.9824130057855276E-005          1.4951394599201121E+003 
