                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                          1                         455     2.0000000000000000E+001     2.0000000000000000E-002     1.0000000000000001E-005     1.0000000000000001E-005     3.4591015446163242E+003     2.2163401260969287E+004     4.1509778752100533E+002    -1.3303566694259642E+001     7.0000000000000007E-001     2.9797635251138597E-005     2.7997020236474890E-001     3.4416106108120393E-003     1.0081585468366045E-003     9.3604466091399777E-003     2.0994599496976488E-003     2.0000000000000000E+001     0.0000000000000000E+000     1.4000000000000005E+001     5.9595270502277157E-004     5.5994040472949758E+000     6.8832212216240682E-002     2.0163170936732071E-002     1.8720893218279933E-001     4.1989198993953002E-002     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     1.9996645441397220E+001     4.1371051035663123E+002     1.9995709778494916E+001     4.1336408536642114E+002     1.8934079729364976E+007     1.0205932753151376E+003     9.0238857134355400E+006     1.5253482512375543E-022     1.5253482512375543E-022     0.0000000000000000E+000     6.1024069905893887E-024     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     2.6181504185869522E+000     3.5389633115957224E+000    -8.3607472294977239E+000     2.9817072937653433E+000 
                          2     9.9999999999900002E-001     2.6181504185738667E+000     3.5389633282094932E+000    -8.3607470291396204E+000     2.9817072937903699E+000 
                          3     9.9999999995138100E-001     2.6181504179507491E+000     3.5389633688895987E+000    -8.3607475775026749E+000     2.9817072938516493E+000 
                          4     9.9999999987995236E-001     2.6181504170160750E+000     3.5389634177056557E+000    -8.3607472431055267E+000     2.9817072939251856E+000 
                          5     9.9999999980852372E-001     2.6181504160813982E+000     3.5389634746577263E+000    -8.3607473291220984E+000     2.9817073457634176E+000 
                          6     9.9999999971328557E-001     2.6181504148351644E+000     3.5389635397460357E+000    -8.3607457681062627E+000     2.9817092607017259E+000 
                          7     9.9999999961804742E-001     2.6181504135889373E+000     3.5389636373788154E+000    -8.3607454536830943E+000     2.9817092608487994E+000 
                          8     9.9999999942757112E-001     2.6181504110964795E+000     3.5389637675562300E+000    -8.3607439563051980E+000     2.9817117451619937E+000 
                          9     9.9999999923709482E-001     2.6181504086040293E+000     3.5389639628228013E+000    -8.3607436485898781E+000     2.9817123406091945E+000 
                         10     9.9999999885614221E-001     2.6181504036191368E+000     3.5389642231793075E+000    -8.3607418074720670E+000     2.9817139194507978E+000 
                         11     9.9999999847518961E-001     2.6181503986342611E+000     3.5389646137169519E+000    -8.3607382639228476E+000     2.9817178273482869E+000 
                         12     9.9999999771328452E-001     2.6181503886645960E+000     3.5389651344384356E+000    -8.3607350206181703E+000     2.9817217871943256E+000 
                         13     9.9999999695137942E-001     2.6181503786950038E+000     3.5389659155294271E+000    -8.3607294305492843E+000     2.9817276622728515E+000 
                         14     9.9999999542756923E-001     2.6181503587560755E+000     3.5389669570097864E+000    -8.3607220870310783E+000     2.9817363582516037E+000 
                         15     9.9999999390375904E-001     2.6181503388174803E+000     3.5389685192638929E+000    -8.3607116641394548E+000     2.9817478755228253E+000 
                         16     9.9999999085613855E-001     2.6181502989412406E+000     3.5389706023668976E+000    -8.3606959665498586E+000     2.9817668718063031E+000 
                         17     9.9999998780851806E-001     2.6181502590664310E+000     3.5389737271546649E+000    -8.3606746222615200E+000     2.9817907602646176E+000 
