                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                         50                         427     2.0000000000000000E+001     2.0000000000000000E-002     4.5497190750010674E-001     7.5836984583351114E-002     3.7994081543859879E+003     3.4389014883242373E+004     4.2858483803822497E+002    -1.3300111770629881E+001     7.0000000000000007E-001     2.9797635251138567E-005     2.7997020236474890E-001     3.4416106108120350E-003     1.0081585468366041E-003     9.3604466091399777E-003     2.0994599496976488E-003     2.0000000000000000E+001     0.0000000000000000E+000     1.4000000000000007E+001     5.9595270502277125E-004     5.5994040472949749E+000     6.8832212216240626E-002     2.0163170936732071E-002     1.8720893218279935E-001     4.1989198993953002E-002     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     1.9997026503658102E+001     4.2674525346179121E+002     1.9996444295884224E+001     4.2643405722970908E+002     1.9864323450370405E+007     6.3706389449031963E+002     5.8158106790508609E+006     1.5905450381092511E-022     1.5905450381092511E-022     0.0000000000000000E+000     6.3632374781709431E-024     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     2.6320368030268404E+000     3.5797159509948209E+000    -8.6199148795692810E+000     2.7645190442130105E+000 
                          2     9.9999999999900002E-001     2.6320368030052474E+000     3.5797159632985887E+000    -8.6199150472616193E+000     2.7645190442574914E+000 
                          3     9.9999999997519051E-001     2.6320368024911467E+000     3.5797160046260266E+000    -8.6199155198470674E+000     2.7645171047139776E+000 
                          4     9.9999999991566668E-001     2.6320368012058939E+000     3.5797160872809810E+000    -8.6199140486652635E+000     2.7645197429951702E+000 
                          5     9.9999999980852372E-001     2.6320367988924462E+000     3.5797162348793496E+000    -8.6199135271339564E+000     2.7645208297568122E+000 
                          6     9.9999999961804742E-001     2.6320367947796544E+000     3.5797165182685182E+000    -8.6199103417792244E+000     2.7645245291291891E+000 
                          7     9.9999999923709482E-001     2.6320367865541341E+000     3.5797170850506959E+000    -8.6199070797643955E+000     2.7645274019237758E+000 
                          8     9.9999999847518972E-001     2.6320367701032104E+000     3.5797182186335088E+000    -8.6198990149729084E+000     2.7645372855246575E+000 
                          9     9.9999999695137953E-001     2.6320367372019713E+000     3.5797204858575009E+000    -8.6198834400250153E+000     2.7645545181946214E+000 
                         10     9.9999999390375904E-001     2.6320366714018317E+000     3.5797250205271363E+000    -8.6198522949598129E+000     2.7645902766644763E+000 
                         11     9.9999998780851806E-001     2.6320365398108967E+000     3.5797340907872468E+000    -8.6197885788881532E+000     2.7646631901885690E+000 
                         12     9.9999997561803611E-001     2.6320362766672760E+000     3.5797522350827058E+000    -8.6196610668412550E+000     2.7648091982968435E+000 
                         13     9.9999995123707219E-001     2.6320357505331016E+000     3.5797885387010733E+000    -8.6194078159363823E+000     2.7650989128310317E+000 
                         14     9.9999990247514436E-001     2.6320346988724550E+000     3.5798612058951216E+000    -8.6189019874075292E+000     2.7656764542762060E+000 
