                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                          1                         555     1.0000000000000000E+000     2.0000000000000000E-002     1.0000000000000001E-005     1.0000000000000001E-005     4.3206061076154847E+003     2.7127906650345051E+002     2.9435920896196023E+001    -8.0536156296730042E+000     7.0000000000000007E-001     2.9797635251138614E-005     2.7997020236474890E-001     3.4416106108120384E-003     1.0081585468366043E-003     9.3604466091399795E-003     2.0994599496976496E-003     1.0000000000000000E+000     0.0000000000000000E+000     6.9999999999999984E-001     2.9797635251138486E-005     2.7997020236474890E-001     3.4416106108120220E-003     1.0081585468366050E-003     9.3604466091399777E-003     2.0994599496976492E-003     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9999638038711691E-001     2.9255663129066367E+001     9.9999544598056744E-001     2.9215983956170383E+001     1.5990057013561537E+006     2.9395823391149916E+003     3.6862409359082654E+007     1.2265363822863952E-021     1.2265363822863952E-021     0.0000000000000000E+000     4.9069626270400476E-023     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20 
                       zone                           q                        logR                        logT                      logRho                        logP                        mass                      radius                          pp                         cno                     eps_nuc                          h1                         he3                         he4                         c12                         n14                         o16                        ne20                        mg24                 mixing_type 
                          1     1.0000000000000000E+000     1.4688776271663719E+000     3.6355446935103464E+000    -8.1918463182531802E+000     3.2483120677889268E+000     1.0000000000000000E+000     2.9435920896196023E+001     2.6185663042002235E-035     0.0000000000000000E+000     2.6185663042002235E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          2     9.9999999999900002E-001     1.4688776259227860E+000     3.6355447346533900E+000    -8.1918458359409794E+000     3.2483120678705770E+000     9.9999999999900002E-001     2.9435920811907373E+001     2.6185692126288609E-035     0.0000000000000000E+000     2.6185692126288609E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          3     9.9999999999775002E-001     1.4688776243683042E+000     3.6355447803678764E+000    -8.1918464336934775E+000     3.2483112658944111E+000     9.9999999999775002E-001     2.9435920706546590E+001     2.6185656080751128E-035     0.0000000000000000E+000     2.6185656080751128E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          4     9.9999999999650002E-001     1.4688776228138207E+000     3.6355448489396660E+000    -8.1918450308721162E+000     3.2483131030223991E+000     9.9999999999650002E-001     2.9435920601185696E+001     2.6185740673449587E-035     0.0000000000000000E+000     2.6185740673449587E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366041E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                          5     9.9999999999400002E-001     1.4688776197048643E+000     3.6355449860833202E+000    -8.1918445256150410E+000     3.2483137501227000E+000     9.9999999999400013E-001     2.9435920390464645E+001     2.6185771141443988E-035     0.0000000000000000E+000     2.6185771141443983E-035     7.0000000000000007E-001     2.9797635251138462E-005     2.7997020236474895E-001     3.4416106108120198E-003     1.0081585468366045E-003     9.3604466091399777E-003     2.0994599496976492E-003     4.0903242835137518E-003                           0 
                          6     9.9999999998900002E-001     1.4688776134869550E+000     3.6355453060860787E+000    -8.1918412946132211E+000     3.2483171401371922E+000     9.9999999998899991E-001     2.9435919969022759E+001     2.6185965978040339E-035     0.0000000000000000E+000     2.6185965978040339E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          7     9.9999999997650002E-001     1.4688775979423001E+000     3.6355457632359336E+000    -8.1918380048472486E+000     3.2483207632819884E+000     9.9999999997650002E-001     2.9435918915426118E+001     2.6186164359735309E-035     0.0000000000000000E+000     2.6186164359735309E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          8     9.9999999996400002E-001     1.4688775823977596E+000     3.6355464489622982E+000    -8.1918340702805086E+000     3.2483256546635553E+000     9.9999999996400002E-001     2.9435917861837257E+001     2.6186401626616430E-035     0.0000000000000000E+000     2.6186401626616430E-035     7.0000000000000007E-001     2.9797635251138628E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          9     9.9999999993900002E-001     1.4688775513089576E+000     3.6355478204251881E+000    -8.1918232513981213E+000     3.2483376107692896E+000     9.9999999993900002E-001     2.9435915754678572E+001     2.6187054050697864E-035     0.0000000000000000E+000     2.6187054050697869E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                         10     9.9999999988900001E-001     1.4688774891328811E+000     3.6355510205573198E+000    -8.1918014546975328E+000     3.2483630504026353E+000     9.9999999988900001E-001     2.9435911540465188E+001     2.6188368532725131E-035     0.0000000000000000E+000     2.6188368532725131E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366045E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         11     9.9999999976400000E-001     1.4688773337003735E+000     3.6355555923726803E+000    -8.1917694976587700E+000     3.2483984797849397E+000     9.9999999976400000E-001     2.9435901005455165E+001     2.6190295868154593E-035     0.0000000000000000E+000     2.6190295868154593E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         12     9.9999999963899999E-001     1.4688771782791372E+000     3.6355624503494077E+000    -8.1917220576296863E+000     3.2484538101388005E+000     9.9999999963899999E-001     2.9435890471212847E+001     2.6193157247432859E-035     0.0000000000000000E+000     2.6193157247432859E-035     7.0000000000000007E-001     2.9797635251138462E-005     2.7997020236474895E-001     3.4416106108120198E-003     1.0081585468366045E-003     9.3604466091399777E-003     2.0994599496976496E-003     4.0903242835137518E-003                           0 
                         13     9.9999999938899997E-001     1.4688768674701134E+000     3.6355761673954561E+000    -8.1916259775751019E+000     3.2485638240231318E+000     9.9999999938899997E-001     2.9435869405006645E+001     2.6198953342438343E-035     0.0000000000000000E+000     2.6198953342438343E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         14     9.9999999888899993E-001     1.4688762459875779E+000     3.6356081787769092E+000    -8.1914028052443175E+000     3.2488187896099752E+000     9.9999999888900004E-001     2.9435827281824281E+001     2.6212421316198485E-035     0.0000000000000000E+000     2.6212421316198479E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         15     9.9999999763899994E-001     1.4688746930677741E+000     3.6356539288878875E+000    -8.1910827477613672E+000     3.2491839502739697E+000     9.9999999763899994E-001     2.9435722027442033E+001     2.6231748187976303E-035     0.0000000000000000E+000     2.6231748187976303E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137500E-003                           0 
                         16     9.9999999638899995E-001     1.4688731412753475E+000     3.6357225804566040E+000    -8.1906044629915353E+000     3.2497313550424054E+000     9.9999999638899995E-001     2.9435616849847552E+001     2.6260656277087705E-035     0.0000000000000000E+000     2.6260656277087705E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         17     9.9999999388899996E-001     1.4688700410567503E+000     3.6358599925643982E+000    -8.1896488493330022E+000     3.2508242504355946E+000     9.9999999388899985E-001     2.9435406723942524E+001     2.6318510134661397E-035     0.0000000000000000E+000     2.6318510134661397E-035     6.9999999999999996E-001     2.9797635251138452E-005     2.7997020236474890E-001     3.4416106108120185E-003     1.0081585468366041E-003     9.3604466091399743E-003     2.0994599496976488E-003     4.0903242835137500E-003                           0 
                         18     9.9999998888899999E-001     1.4688638540494348E+000     3.6360789772061284E+000    -8.1881365300258402E+000     3.2525552365225390E+000     9.9999998888899999E-001     2.9434987386863408E+001     2.6410328125463433E-035     0.0000000000000000E+000     2.6410328125463433E-035     6.9999999999999996E-001     2.9797635251138452E-005     2.7997020236474890E-001     3.4416106108120185E-003     1.0081585468366041E-003     9.3604466091399743E-003     2.0994599496976488E-003     4.0903242835137500E-003                           0 
                         19     9.9999998195632367E-001     1.4688553049309432E+000     3.6363340087729856E+000    -8.1863886209566612E+000     3.2545577303748998E+000     9.9999998195632367E-001     2.9434407962696948E+001     2.6516848724131454E-035     0.0000000000000000E+000     2.6516848724131454E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         20     9.9999997502364735E-001     1.4688467896491628E+000     3.6366940074940337E+000    -8.1839399570855562E+000     3.2573668232090993E+000     9.9999997502364724E-001     2.9433830843182168E+001     2.6666797482706943E-035     0.0000000000000000E+000     2.6666797482706943E-035     7.0000000000000007E-001     2.9797635251138462E-005     2.7997020236474895E-001     3.4416106108120198E-003     1.0081585468366045E-003     9.3604466091399777E-003     2.0994599496976496E-003     4.0903242835137518E-003                           0 
                         21     9.9999996242507572E-001     1.4688314007838055E+000     3.6371603360043729E+000    -8.1808110515801502E+000     3.2609622865568322E+000     9.9999996242507572E-001     2.9432787898236391E+001     2.6859636890864801E-035     0.0000000000000000E+000     2.6859636890864801E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         22     9.9999994982650409E-001     1.4688161207717232E+000     3.6378664858676433E+000    -8.1761470906235871E+000     3.2663323053591649E+000     9.9999994982650409E-001     2.9431752367134965E+001     2.7149675972201684E-035     0.0000000000000000E+000     2.7149675972201678E-035     7.0000000000000007E-001     2.9797635251138452E-005     2.7997020236474884E-001     3.4416106108120185E-003     1.0081585468366041E-003     9.3604466091399743E-003     2.0994599496976488E-003     4.0903242835137500E-003                           0 
                         23     9.9999992440663255E-001     1.4687856151095848E+000     3.6393058983327116E+000    -8.1669174596955951E+000     3.2770025324347123E+000     9.9999992440663255E-001     2.9429685098037190E+001     2.7732906265624581E-035     0.0000000000000000E+000     2.7732906265624581E-035     7.0000000000000007E-001     2.9797635251138628E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976496E-003     4.0903242835137509E-003                           0 
                         24     9.9999987289086911E-001     1.4687250734693866E+000     3.6412796739557041E+000    -8.1548733804830214E+000     3.2910238473683764E+000     9.9999987289086911E-001     2.9425582818827234E+001     2.8512869013456955E-035     0.0000000000000000E+000     2.8512869013456955E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137500E-003                           0 
                         25     9.9999982046051228E-001     1.4686651173489456E+000     3.6433149669450757E+000    -8.1430814895716441E+000     3.3048529979405750E+000     9.9999982046051239E-001     2.9421520777778749E+001     2.9297749070617216E-035     0.0000000000000000E+000     2.9297749070617216E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399743E-003     2.0994599496976492E-003     4.0903242835137500E-003                           0 
                         26     9.9999976709943816E-001     1.4686057069550635E+000     3.6464828535524618E+000    -8.1257675597260217E+000     3.3253359177317527E+000     9.9999976709943816E-001     2.9417496262941196E+001     3.0489502828640929E-035     0.0000000000000000E+000     3.0489502828640929E-035     7.0000000000000007E-001     2.9797635251138455E-005     2.7997020236474884E-001     3.4416106108120193E-003     1.0081585468366045E-003     9.3604466091399777E-003     2.0994599496976496E-003     4.0903242835137518E-003                           0 
                         27     9.9999965751922015E-001     1.4684884007014576E+000     3.6497780252321532E+000    -8.1091423970071332E+000     3.3452558493434896E+000     9.9999965751922026E-001     2.9409551445745720E+001     3.1679448921631599E-035     0.0000000000000000E+000     3.1679448921631605E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120402E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         28     9.9999960126639353E-001     1.4684304082924562E+000     3.6520473013258354E+000    -8.0982774251670655E+000     3.3583901148167845E+000     9.9999960126639353E-001     2.9405624578285348E+001     3.2482092059315529E-035     0.0000000000000000E+000     3.2482092059315529E-035     7.0000000000000007E-001     2.9797635251138628E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         29     9.9999954401547353E-001     1.4683728221927017E+000     3.6543698713881998E+000    -8.0876236710088527E+000     3.3713666059965508E+000     9.9999954401547364E-001     2.9401725742267399E+001     3.3288876634298725E-035     0.0000000000000000E+000     3.3288876634298725E-035     7.0000000000000007E-001     2.9797635251138455E-005     2.7997020236474895E-001     3.4416106108120193E-003     1.0081585468366045E-003     9.3604466091399777E-003     2.0994599496976496E-003     4.0903242835137518E-003                           0 
                         30     9.9999948574887132E-001     1.4683156120108021E+000     3.6573473590433170E+000    -8.0745555867228269E+000     3.3874134284020618E+000     9.9999948574887132E-001     2.9397852869454930E+001     3.4305910935577920E-035     0.0000000000000000E+000     3.4305910935577920E-035     6.9999999999999996E-001     2.9797635251138455E-005     2.7997020236474890E-001     3.4416106108120185E-003     1.0081585468366043E-003     9.3604466091399777E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         31     9.9999939640532554E-001     1.4682304467863734E+000     3.6603915127691571E+000    -8.0618439450812360E+000     3.4031676902310815E+000     9.9999939640532554E-001     2.9392088510541374E+001     3.5325011112267611E-035     0.0000000000000000E+000     3.5325011112267605E-035     7.0000000000000007E-001     2.9797635251138614E-005     2.7997020236474890E-001     3.4416106108120402E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         32     9.9999933552052211E-001     1.4681740559267258E+000     3.6638329951575694E+000    -8.0481001347840913E+000     3.4203491545083953E+000     9.9999933552052211E-001     2.9388272349833858E+001     3.6460951194470445E-035     0.0000000000000000E+000     3.6460951194470445E-035     6.9999999999999996E-001     2.9797635251138452E-005     2.7997020236474890E-001     3.4416106108120185E-003     1.0081585468366043E-003     9.3604466091399743E-003     2.0994599496976483E-003     4.0903242835137500E-003                           0 
                         33     9.9999922632782212E-001     1.4680760209083412E+000     3.6676601693362625E+000    -8.0335560087327789E+000     3.4387155592521901E+000     9.9999922632782212E-001     2.9381639167083868E+001     3.7702846439503169E-035     0.0000000000000000E+000     3.7702846439503169E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137518E-003                           0 
                         34     9.9999914631135545E-001     1.4680065066006363E+000     3.6715879490539223E+000    -8.0193044477725106E+000     3.4568860911413921E+000     9.9999914631135545E-001     2.9376936641631033E+001     3.8960786149217521E-035     0.0000000000000000E+000     3.8960786149217521E-035     7.0000000000000007E-001     2.9797635251138608E-005     2.7997020236474890E-001     3.4416106108120389E-003     1.0081585468366043E-003     9.3604466091399743E-003     2.0994599496976488E-003     4.0903242835137518E-003                           0 
                         35     9.9999903120737932E-001     1.4679096825827294E+000     3.6754138720353406E+000    -8.0060304673256866E+000     3.4739776512948621E+000     9.9999903120737932E-001     2.9370387914651666E+001     4.0170163107570972E-035     0.0000000000000000E+000     4.0170163107570972E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120402E-003     1.0081585468366043E-003     9.3604466091399743E-003     2.0994599496976492E-003     4.0903242835137526E-003                           0 
