                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        550                         709     1.0000000000000000E+000     2.0000000000000000E-002     1.5611965100192837E+006     2.4940297912802151E+004     4.4150767201200342E+003     1.3884290713501375E+000     2.0167133648702213E+000    -4.2383902669268592E+000     6.9999999994537820E-001     2.9797689873303302E-005     2.7997020236474868E-001     3.4416106108119894E-003     1.0081585468366039E-003     9.3604466091399760E-003     2.0994599496976479E-003     1.0000000000000000E+000     0.0000000000000000E+000     6.9999999994537865E-001     2.9797689872971784E-005     2.7997020236474873E-001     3.4416106108119873E-003     1.0081585468366043E-003     9.3604466091399743E-003     2.0994599496976470E-003     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9999999808627482E-001     2.0157563467134851E+000     9.9999999676743567E-001     2.0153184340419630E+000     2.8674762934157145E+004     8.3832354549680371E+006     7.2023844835485840E+009     5.0849076535068975E-006     5.0849076535068983E-006     1.0797312618426467E-086     2.0347359458177671E-007     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20 
                       zone                           q                        logR                        logT                      logRho                        logP                        mass                      radius                          pp                         cno                     eps_nuc                          h1                         he3                         he4                         c12                         n14                         o16                        ne20                        mg24                 mixing_type 
                          1     1.0000000000000000E+000     3.0464417639758828E-001     3.6449776274728931E+000    -6.8758424007932204E+000     4.5722461083552179E+000     1.0000000000000000E+000     2.0167133648702213E+000     5.4253427705008351E-034     0.0000000000000000E+000     5.4253427705008351E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          2     9.9999999999900002E-001     3.0464398959935329E-001     3.6450662620174326E+000    -6.8752244689122888E+000     4.5729544946851171E+000     9.9999999999900002E-001     2.0167124974440123E+000     5.4330717680037463E-034     0.0000000000000000E+000     5.4330717680037463E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          3     9.9999999999775002E-001     3.0464375643321262E-001     3.6451648919224025E+000    -6.8745399326243088E+000     4.5737401755676341E+000     9.9999999999775002E-001     2.0167114147018563E+000     5.4416467023058025E-034     0.0000000000000000E+000     5.4416467023058025E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          4     9.9999999999650002E-001     3.0464352363392688E-001     3.6453130471785169E+000    -6.8735148770145598E+000     4.5749160566286671E+000     9.9999999999650002E-001     2.0167103336638266E+000     5.4545125168219224E-034     0.0000000000000000E+000     5.4545125168219233E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366041E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                          5     9.9999999999400002E-001     3.0464305913188344E-001     3.6456102136251514E+000    -6.8714765513887377E+000     4.5772561705097718E+000     9.9999999999400013E-001     2.0167081766813895E+000     5.4801867000086117E-034     0.0000000000000000E+000     5.4801867000086117E-034     6.9999999999999996E-001     2.9797635251138276E-005     2.7997020236474890E-001     3.4416106108119959E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                          6     9.9999999998900002E-001     3.0464213447334498E-001     3.6463075046869386E+000    -6.8667721855564920E+000     4.5826683420218881E+000     9.9999999998899991E-001     2.0167038829025650E+000     5.5399039680363369E-034     0.0000000000000000E+000     5.5399039680363378E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          7     9.9999999997650002E-001     3.0463984770672509E-001     3.6473183667344378E+000    -6.8601813189081771E+000     4.5902872169732305E+000     9.9999999997650002E-001     2.0166932640271882E+000     5.6246648718170154E-034     0.0000000000000000E+000     5.6246648718170154E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          8     9.9999999996400002E-001     3.0463759534682944E-001     3.6488550383559604E+000    -6.8505629153927199E+000     4.6014672925490245E+000     9.9999999996400002E-001     2.0166828049782244E+000     5.7506943024588516E-034     0.0000000000000000E+000     5.7506943024588516E-034     7.0000000000000007E-001     2.9797635251138628E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          9     9.9999999993900002E-001     3.0463318919593674E-001     3.6520092599362570E+000    -6.8322355872264433E+000     4.6230048198527687E+000     9.9999999993900002E-001     2.0166623447512673E+000     5.9987081223443739E-034     0.0000000000000000E+000     5.9987081223443739E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                         10     9.9999999988900001E-001     3.0462474066272938E-001     3.6569748628009915E+000    -6.8068621451000517E+000     4.6534322787723044E+000     9.9999999988900001E-001     2.0166231140592457E+000     6.3598305226663277E-034     0.0000000000000000E+000     6.3598305226663277E-034     7.0000000000000007E-001     2.9797635251138618E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366045E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         11     9.9999999982650001E-001     3.0461477868647807E-001     3.6613347540463876E+000    -6.7874692027962098E+000     4.6772555542166652E+000     9.9999999982650001E-001     2.0165768566878102E+000     6.6504304213584705E-034     0.0000000000000000E+000     6.6504304213584697E-034     7.0000000000000007E-001     2.9797635251138618E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366045E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         12     9.9999999979525001E-001     3.0461001498374241E-001     3.6642986680934304E+000    -6.7752876185461730E+000     4.6924433435397033E+000     9.9999999979524989E-001     2.0165547373185708E+000     6.8397235204230132E-034     0.0000000000000000E+000     6.8397235204230141E-034     7.0000000000000007E-001     2.9797635251138618E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366045E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         13     9.9999999976400000E-001     3.0460538289189626E-001     3.6688215438323333E+000    -6.7580412274541022E+000     4.7142746542800706E+000     9.9999999976400000E-001     2.0165332292927229E+000     7.1169729921768549E-034     0.0000000000000000E+000     7.1169729921768549E-034     7.0000000000000007E-001     2.9797635251138618E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         14     9.9999999970150000E-001     3.0459647897555930E-001     3.6750584948753948E+000    -6.7368583378504399E+000     4.7417756412480241E+000     9.9999999970150000E-001     2.0164918867017936E+000     7.4729356367443484E-034     0.0000000000000000E+000     7.4729356367443493E-034     7.0000000000000007E-001     2.9797635251138618E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         15     9.9999999963899999E-001     3.0458799842089723E-001     3.6814561916617445E+000    -6.7174747401139108E+000     4.7676386165935192E+000     9.9999999963899999E-001     2.0164525106484072E+000     7.8142454492488833E-034     0.0000000000000000E+000     7.8142454492488833E-034     6.9999999999999996E-001     2.9797635251138279E-005     2.7997020236474890E-001     3.4416106108119959E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         16     9.9999999957649999E-001     3.0457988758626148E-001     3.6863590333542464E+000    -6.7040045020000569E+000     4.7860761833124768E+000     9.9999999957649999E-001     2.0164148519609864E+000     8.0605733233797690E-034     0.0000000000000000E+000     8.0605733233797690E-034     6.9999999999999996E-001     2.9797635251138279E-005     2.7997020236474890E-001     3.4416106108119959E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         17     9.9999999954524998E-001     3.0457595585905800E-001     3.6896463248169233E+000    -6.6954630563107074E+000     4.7979464305902022E+000     9.9999999954524987E-001     2.0163965971648268E+000     8.2207782029646509E-034     0.0000000000000000E+000     8.2207782029646492E-034     6.9999999999999996E-001     2.9797635251138279E-005     2.7997020236474890E-001     3.4416106108119959E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         18     9.9999999951399998E-001     3.0457210059959422E-001     3.6945969804937544E+000    -6.6832555615163951E+000     4.8151662505644088E+000     9.9999999951399998E-001     2.0163786975647073E+000     8.4552890118239140E-034     0.0000000000000000E+000     8.4552890118239157E-034     6.9999999999999996E-001     2.9797635251138279E-005     2.7997020236474890E-001     3.4416106108119959E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         19     9.9999999945149998E-001     3.0456460350239678E-001     3.7012534453731609E+000    -6.6680408727061788E+000     4.8371143990470058E+000     9.9999999945149998E-001     2.0163438897160399E+000     8.7569589603383911E-034     0.0000000000000000E+000     8.7569589603383894E-034     6.9999999999999996E-001     2.9797635251138279E-005     2.7997020236474890E-001     3.4416106108119959E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         20     9.9999999938899997E-001     3.0455736413600537E-001     3.7079078672537427E+000    -6.6538686104101732E+000     4.8580060636491007E+000     9.9999999938899997E-001     2.0163102790414018E+000     9.0476378810252439E-034     0.0000000000000000E+000     9.0476378810252439E-034     7.0000000000000007E-001     2.9797635251138618E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         21     9.9999999932649997E-001     3.0455035685288440E-001     3.7145228959690679E+000    -6.6406055673977855E+000     4.8779424016988440E+000     9.9999999932649997E-001     2.0162777464083828E+000     9.3284054127193331E-034     0.0000000000000000E+000     9.3284054127193314E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         22     9.9999999926399996E-001     3.0454356000847849E-001     3.7210760910900480E+000    -6.6281481471972317E+000     4.8970027245570034E+000     9.9999999926399996E-001     2.0162461912782703E+000     9.6000515138069239E-034     0.0000000000000000E+000     9.6000515138069239E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         23     9.9999999920149996E-001     3.0453695505123318E-001     3.7275594753286150E+000    -6.6164155361487680E+000     4.9152619443548726E+000     9.9999999920149996E-001     2.0162155274794484E+000     9.8631244466537456E-034     0.0000000000000000E+000     9.8631244466537456E-034     7.0000000000000007E-001     2.9797635251138618E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         24     9.9999999913899995E-001     3.0453052585101598E-001     3.7339796385687278E+000    -6.6053489004299193E+000     4.9327880891020186E+000     9.9999999913899995E-001     2.0161856800881051E+000     1.0117870521026252E-033     0.0000000000000000E+000     1.0117870521026250E-033     7.0000000000000007E-001     2.9797635251138618E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         25     9.9999999907649995E-001     3.0452425813428369E-001     3.7403602389989041E+000    -6.5949198766906783E+000     4.9496348480882153E+000     9.9999999907649995E-001     2.0161565828048973E+000     1.0363960386436391E-033     0.0000000000000000E+000     1.0363960386436391E-033     6.9999999994537865E-001     2.9797689872801215E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           0 
                         26     9.9999999901399994E-001     3.0451813887412765E-001     3.7499185129390193E+000    -6.5804221350469660E+000     4.9737393020575444E+000     9.9999999901399994E-001     2.0161281751224553E+000     1.0716037095694483E-033     0.0000000000000000E+000     1.0716037095694483E-033     6.9999999994537865E-001     2.9797689872801235E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         27     9.9999999888899993E-001     3.0450630142552898E-001     3.7607006850455669E+000    -6.5665703133080386E+000     4.9984288074846779E+000     9.9999999888900004E-001     2.0160732228046463E+000     1.1063599429794019E-033     0.0000000000000000E+000     1.1063599429794019E-033     6.9999999994537865E-001     2.9797689872801235E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         28     9.9999999881087498E-001     3.0449913479842011E-001     3.7671586559083781E+000    -6.5594282403400967E+000     5.0120596686081473E+000     9.9999999881087498E-001     2.0160399543050400E+000     1.1247187896391072E-033     0.0000000000000000E+000     1.1247187896391072E-033     6.9999999994537865E-001     2.9797689872801235E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         29     9.9999999877181245E-001     3.0449560980121609E-001     3.7715545434592204E+000    -6.5549892165885923E+000     5.0209150457112504E+000     9.9999999877181245E-001     2.0160235909694282E+000     1.1362826475343967E-033     0.0000000000000000E+000     1.1362826475343968E-033     6.9999999994537865E-001     2.9797689872801235E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         30     9.9999999873274992E-001     3.0449212056577984E-001     3.7782958829473490E+000    -6.5488077827534603E+000     5.0338693711409972E+000     9.9999999873274992E-001     2.0160073937737715E+000     1.1525839621767155E-033     0.0000000000000000E+000     1.1525839621767155E-033     6.9999999994537865E-001     2.9797689872801235E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         31     9.9999999865462497E-001     3.0448524047148978E-001     3.7876783824474267E+000    -6.5415455031824346E+000     5.0505642406375895E+000     9.9999999865462497E-001     2.0159754564324737E+000     1.1720347601179274E-033     0.0000000000000000E+000     1.1720347601179274E-033     6.9999999994537865E-001     2.9797689872801235E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         32     9.9999999857650002E-001     3.0447847415075446E-001     3.7972424165238992E+000    -6.5350901854170651E+000     5.0666410298261724E+000     9.9999999857650002E-001     2.0159440477205508E+000     1.1895997473231030E-033     0.0000000000000000E+000     1.1895997473231030E-033     6.9999999994537865E-001     2.9797689872801239E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         33     9.9999999849837506E-001     3.0447180735097584E-001     3.8067814814410514E+000    -6.5291875692911736E+000     5.0821447064302712E+000     9.9999999849837506E-001     2.0159131014554368E+000     1.2058912198958234E-033     0.0000000000000000E+000     1.2058912198958234E-033     6.9999999994537865E-001     2.9797689872801239E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         34     9.9999999842025011E-001     3.0446523024769223E-001     3.8161170549308836E+000    -6.5236204101172257E+000     5.0971136619630961E+000     9.9999999842025000E-001     2.0158825720132412E+000     1.2214612969033407E-033     0.0000000000000000E+000     1.2214612969033407E-033     6.9999999994537865E-001     2.9797689872801239E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         35     9.9999999834212516E-001     3.0445873662412831E-001     3.8228883954460007E+000    -6.5195483744333496E+000     5.1080131461939553E+000     9.9999999834212516E-001     2.0158524305188101E+000     1.2329770583457761E-033     0.0000000000000000E+000     1.2329770583457761E-033     6.9999999994537865E-001     2.9797689872801239E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         36     9.9999999830306263E-001     3.0445552000498188E-001     3.8272937115249186E+000    -6.5168788029606750E+000     5.1151301257886459E+000     9.9999999830306263E-001     2.0158375000838591E+000     1.2405855150356596E-033     0.0000000000000000E+000     1.2405855150356596E-033     6.9999999994537865E-001     2.9797689872801239E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         37     9.9999999826400010E-001     3.0445232302665698E-001     3.8337309975153362E+000    -6.5129243026689263E+000     5.1255931227964364E+000     9.9999999826400010E-001     2.0158226609243890E+000     1.2519425110558592E-033     0.0000000000000000E+000     1.2519425110558592E-033     6.9999999994537865E-001     2.9797689872801239E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         38     9.9999999818587515E-001     3.0444598681775936E-001     3.8419002043369290E+000    -6.5076280294327846E+000     5.1391616367135615E+000     9.9999999818587504E-001     2.0157932509713770E+000     1.2673160700367521E-033     0.0000000000000000E+000     1.2673160700367521E-033     6.9999999994537865E-001     2.9797689872801239E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         39     9.9999999810775020E-001     3.0443972713811474E-001     3.8496269341786089E+000    -6.5023091518262994E+000     5.1523223183245141E+000     9.9999999810775020E-001     2.0157641966555357E+000     1.2829453181680745E-033     0.0000000000000000E+000     1.2829453181680745E-033     6.9999999994537865E-001     2.9797689872801239E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         40     9.9999999802962525E-001     3.0443354338851941E-001     3.8551087235368979E+000    -6.4982712166313679E+000     5.1619352655409729E+000     9.9999999802962525E-001     2.0157354951803543E+000     1.2949392177759506E-033     0.0000000000000000E+000     1.2949392177759508E-033     6.9999999994537865E-001     2.9797689872801239E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         41     9.9999999799056272E-001     3.0443048002994633E-001     3.8586504238903476E+000    -6.4955865704299436E+000     5.1682299056007004E+000     9.9999999799056283E-001     2.0157212769503521E+000     1.3029754535549746E-033     0.0000000000000000E+000     1.3029754535549748E-033     6.9999999994537865E-001     2.9797689872801239E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         42     9.9999999795150019E-001     3.0442743548527579E-001     3.8637984322314409E+000    -6.4915720210359096E+000     5.1775014475314798E+000     9.9999999795150007E-001     2.0157071461423040E+000     1.3150858121558348E-033     0.0000000000000000E+000     1.3150858121558346E-033     6.9999999994537865E-001     2.9797689872801239E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         43     9.9999999787337523E-001     3.0442140223399883E-001     3.8702815863300128E+000    -6.4861459401588233E+000     5.1895672602900325E+000     9.9999999787337523E-001     2.0156791439830597E+000     1.3316333699986238E-033     0.0000000000000000E+000     1.3316333699986236E-033     6.9999999994537865E-001     2.9797689872801239E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         44     9.9999999779525028E-001     3.0441544364651052E-001     3.8763950201883941E+000    -6.4806889756061503E+000     5.2013066659688914E+000     9.9999999779525028E-001     2.0156514887430439E+000     1.3484852018196082E-033     0.0000000000000000E+000     1.3484852018196082E-033     6.9999999994537865E-001     2.9797689872801239E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         45     9.9999999771712533E-001     3.0440955922031110E-001     3.8821630410068160E+000    -6.4752098605132513E+000     5.2127356100487461E+000     9.9999999771712533E-001     2.0156241780758135E+000     1.3656200921565484E-033     0.0000000000000000E+000     1.3656200921565484E-033     6.9999999994537865E-001     2.9797689872801239E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         46     9.9999999763900038E-001     3.0440374833172934E-001     3.8903061571206581E+000    -6.4670503113389453E+000     5.2293381661199012E+000     9.9999999763900038E-001     2.0155972090728618E+000     1.3915420939303494E-033     0.0000000000000000E+000     1.3915420939303494E-033     6.9999999994537865E-001     2.9797689872801239E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         47     9.9999999748275037E-001     3.0439234218851724E-001     3.8976315077671408E+000    -6.4586946269504883E+000     5.2453297479209722E+000     9.9999999748275037E-001     2.0155442728982558E+000     1.4185974249083855E-033     0.0000000000000000E+000     1.4185974249083855E-033     6.9999999994537865E-001     2.9797689872801239E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         48     9.9999999740462542E-001     3.0438674746484096E-001     3.9022448934025067E+000    -6.4531847802242792E+000     5.2556735131672303E+000     9.9999999740462542E-001     2.0155183081644146E+000     1.4367253551643878E-033     0.0000000000000000E+000     1.4367253551643879E-033     6.9999999994537865E-001     2.9797689872801239E-005     2.7997020236474873E-001     3.4416106108119899E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
