                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        700                         750     1.0000000000000000E+000     2.0000000000000000E-002     1.9915053756131757E+007     2.8482967767267278E+005     4.8634060648096902E+003     5.6765582033749451E-001     1.0627235874520664E+000    -1.9337287392556388E+000     6.9998243542882732E-001     4.7355190732754484E-005     2.7997020938044020E-001     3.4416106108119812E-003     1.0081585468366030E-003     9.3604466091399673E-003     2.0994599496976462E-003     1.0000000000000000E+000     0.0000000000000000E+000     6.9999823766895708E-001     3.1559814455928922E-005     2.7997020251658700E-001     3.4416106108119851E-003     1.0081585468366045E-003     9.3604466091399743E-003     2.0994599496976475E-003     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9999999975588250E-001     1.0624435591211274E+000     9.9999999957529595E-001     1.0623082273828988E+000     1.0968924607540592E+004     3.8911155151413523E+007     1.7616308406834606E+010     1.7213677529683780E-002     1.7213677529683780E-002     3.8256805882764259E-060     6.9104254939936736E-004     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20 
                       zone                           q                        logR                        logT                      logRho                        logP                        mass                      radius                          pp                         cno                     eps_nuc                          h1                         he3                         he4                         c12                         n14                         o16                        ne20                        mg24                 mixing_type 
                          1     1.0000000000000000E+000     2.6420319975208214E-002     3.6872327461300238E+000    -6.6751504911269510E+000     4.8157657179414350E+000     1.0000000000000000E+000     1.0627235874520664E+000     8.6146754828074330E-034     0.0000000000000000E+000     8.6146754828074330E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          2     9.9999999999900002E-001     2.6419515795045062E-002     3.6878919197166029E+000    -6.6706010469308969E+000     4.8209791481828015E+000     9.9999999999900002E-001     1.0627216196157887E+000     8.7054538307673804E-034     0.0000000000000000E+000     8.7054538307673804E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          3     9.9999999999775002E-001     2.6418521038915056E-002     3.6886297912589670E+000    -6.6656242185669097E+000     4.8266984900348238E+000     9.9999999999775002E-001     1.0627191854434035E+000     8.8058564231610891E-034     0.0000000000000000E+000     8.8058564231610891E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          4     9.9999999999650002E-001     2.6417537610478988E-002     3.6897440620165782E+000    -6.6583075158923375E+000     4.8351370757433765E+000     9.9999999999650002E-001     1.0627167789954131E+000     8.9555707765648233E-034     0.0000000000000000E+000     8.9555707765648233E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366041E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                          5     9.9999999999400002E-001     2.6415603592837462E-002     3.6920024305662764E+000    -6.6441801177078146E+000     4.8515421017067295E+000     9.9999999999400013E-001     1.0627120464728788E+000     9.2518882768260051E-034     0.0000000000000000E+000     9.2518882768260051E-034     6.9999999999999996E-001     2.9797635251138276E-005     2.7997020236474890E-001     3.4416106108119959E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                          6     9.9999999998900002E-001     2.6411859285003874E-002     3.6954778496771841E+000    -6.6241845124579699E+000     4.8750434123947857E+000     9.9999999998899991E-001     1.0627028842475843E+000     9.6881309994271181E-034     0.0000000000000000E+000     9.6881309994271181E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          7     9.9999999998275002E-001     2.6407389380183471E-002     3.6994476528586357E+000    -6.6034850310896953E+000     4.8997451270089565E+000     9.9999999998275013E-001     1.0626919466084990E+000     1.0161418515882642E-033     0.0000000000000000E+000     1.0161418515882642E-033     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          8     9.9999999997650002E-001     2.6403127395427734E-002     3.7035076349917002E+000    -6.5842044068353154E+000     4.9231199117331572E+000     9.9999999997650002E-001     1.0626815178445115E+000     1.0623047466349909E-033     0.0000000000000000E+000     1.0623047466349909E-033     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          9     9.9999999997025002E-001     2.6399050366658801E-002     3.7076410586728406E+000    -6.5661918979817937E+000     4.9452999347782489E+000     9.9999999997025002E-001     1.0626715417500305E+000     1.1073251030191209E-033     0.0000000000000000E+000     1.1073251030191209E-033     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
