                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        800                         786     1.0000000000000000E+000     2.0000000000000000E-002     1.9342394939567394E+009     2.7735516893714309E+008     5.7022375229381541E+003     8.3588220219126586E-001     9.3808192570246751E-001    -1.6232771212533375E+000     5.5663034484075957E-001     2.6416782081076616E-005     4.2334323837707044E-001     3.4416106108273044E-003     1.0081585468410936E-003     9.3604466091816510E-003     2.0994599497070020E-003     1.0000000000000000E+000     0.0000000000000000E+000     6.8513794918923676E-001     5.9230182239390302E-004     2.9426974898836888E-001     3.4416106108119873E-003     1.0081585468366067E-003     9.3604466091399968E-003     2.0994599496976523E-003     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9999999991514876E-001     9.3790128093888436E-001     9.9999999984813259E-001     9.3779409768941613E-001     9.0969273017200721E+003     2.9935994639856450E+007     1.1963408209655609E+010     8.3598282622876308E-001     8.3598282622876308E-001     2.6556670151555342E-046     1.8290266820563918E-002     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20 
                       zone                           q                        logR                        logT                      logRho                        logP                        mass                      radius                          pp                         cno                     eps_nuc                          h1                         he3                         he4                         c12                         n14                         o16                        ne20                        mg24                 mixing_type 
                          1     1.0000000000000000E+000    -2.7759231634997442E-002     3.7565372229385821E+000    -6.7537105485361595E+000     4.8071933142336700E+000     1.0000000000000000E+000     9.3808192570246751E-001     7.1883404158381527E-034     0.0000000000000000E+000     7.1883404158381519E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          2     9.9999999999900002E-001    -2.7760632682831621E-002     3.7576518486829138E+000    -6.7461059700306008E+000     4.8159142751699777E+000     9.9999999999900002E-001     9.3807889942517164E-001     7.3153966677422417E-034     0.0000000000000000E+000     7.3153966677422417E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          3     9.9999999999775002E-001    -2.7762353612340043E-002     3.7589144713416247E+000    -6.7378817766511698E+000     4.8254033708495463E+000     9.9999999999775002E-001     9.3807518221362973E-001     7.4553350505365730E-034     0.0000000000000000E+000     7.4553350505365730E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          4     9.9999999999650002E-001    -2.7764042279284060E-002     3.7608439752470764E+000    -6.7259584172714382E+000     4.8392608638597689E+000     9.9999999999650002E-001     9.3807153470361637E-001     7.6629853318546203E-034     0.0000000000000000E+000     7.6629853318546194E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366041E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                          5     9.9999999999400002E-001    -2.7767328207719027E-002     3.7648554457579810E+000    -6.7035251676221810E+000     4.8657142518119718E+000     9.9999999999400013E-001     9.3806443715944454E-001     8.0694805184381366E-034     0.0000000000000000E+000     8.0694805184381366E-034     6.9999999999999996E-001     2.9797635251138276E-005     2.7997020236474890E-001     3.4416106108119959E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                          6     9.9999999998900002E-001    -2.7773569422623458E-002     3.7695748458428020E+000    -6.6813064458667357E+000     4.8926650608410824E+000     9.9999999998899991E-001     9.3805095639944824E-001     8.4933469516648661E-034     0.0000000000000000E+000     8.4933469516648661E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          7     9.9999999998587508E-001    -2.7777275763454498E-002     3.7733885840397394E+000    -6.6654797303431099E+000     4.9123162245452576E+000     9.9999999998587508E-001     9.3804295095182988E-001     8.8087885691247082E-034     0.0000000000000000E+000     8.8087885691247082E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          8     9.9999999998275013E-001    -2.7780849557811554E-002     3.7774069654985274E+000    -6.6507105582639081E+000     4.9311171510280678E+000     9.9999999998275013E-001     9.3803523186040405E-001     9.1137147307032576E-034     0.0000000000000000E+000     9.1137147307032576E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          9     9.9999999997962519E-001    -2.7784303944321607E-002     3.7816468049847374E+000    -6.6369448007854990E+000     4.9491383523374770E+000     9.9999999997962519E-001     9.3802777074012944E-001     9.4074242849875052E-034     0.0000000000000000E+000     9.4074242849875052E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         10     9.9999999997650024E-001    -2.7787650633450338E-002     3.7861286161055543E+000    -6.6241425667062526E+000     4.9664415926996472E+000     9.9999999997650024E-001     9.3802054229174270E-001     9.6890674234188759E-034     0.0000000000000000E+000     9.6890674234188759E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         11     9.9999999997337530E-001    -2.7790900182025353E-002     3.7908782935148446E+000    -6.6122755241257964E+000     4.9830815971947713E+000     9.9999999997337530E-001     9.3801352370863855E-001     9.9576646018860804E-034     0.0000000000000000E+000     9.9576646018860804E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                         12     9.9999999997025035E-001    -2.7794062209274720E-002     3.7959287218360651E+000    -6.6013259316879376E+000     4.9991084315247667E+000     9.9999999997025035E-001     9.3800669421011096E-001     1.0212098672568796E-033     0.0000000000000000E+000     1.0212098672568796E-033     6.9999999529587220E-001     2.9802339379341406E-005     2.7997020236474873E-001     3.4416106108119903E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           0 
                         13     9.9999999996712541E-001    -2.7797145577437430E-002     3.8013219452473619E+000    -6.5912928048248309E+000     5.0145657488517674E+000     9.9999999996712552E-001     9.3800003465114601E-001     1.0450942828125197E-033     0.0000000000000000E+000     1.0450942828125197E-033     6.9999999185302253E-001     2.9805782229016329E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           0 
                         14     9.9999999996400046E-001    -2.7800158593183900E-002     3.8071119731508620E+000    -6.5821924694877847E+000     5.0294919751943326E+000     9.9999999996400046E-001     9.3799352708729555E-001     1.0672411076814253E-033     0.0000000000000000E+000     1.0672411076814251E-033     6.9999999185302253E-001     2.9805782229016329E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         15     9.9999999996087552E-001    -2.7803109190965063E-002     3.8118063073531872E+000    -6.5760504000982936E+000     5.0403597924718566E+000     9.9999999996087552E-001     9.3798715437860725E-001     1.0824533823154320E-033     0.0000000000000000E+000     1.0824533823154320E-033     6.9999999185302253E-001     2.9805782229016329E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         16     9.9999999995931299E-001    -2.7804563794217169E-002     3.8150595173895248E+000    -6.5722306405528572E+000     5.0474580185830131E+000     9.9999999995931299E-001     9.3798401273868981E-001     1.0920231136938602E-033     0.0000000000000000E+000     1.0920231136938601E-033     6.9999999185302253E-001     2.9805782229016332E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         17     9.9999999995775046E-001    -2.7806005674290053E-002     3.8201478280583654E+000    -6.5669296814686531E+000     5.0578886649661525E+000     9.9999999995775046E-001     9.3798089858857303E-001     1.1054441170352928E-033     0.0000000000000000E+000     1.1054441170352928E-033     6.9999999185302253E-001     2.9805782229016332E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         18     9.9999999995462552E-001    -2.7808854491682893E-002     3.8276101557851754E+000    -6.5609339061810408E+000     5.0714223423465477E+000     9.9999999995462541E-001     9.3797474578754680E-001     1.1208232347046929E-033     0.0000000000000000E+000     1.1208232347046929E-033     6.9999999185302253E-001     2.9805782229016332E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         19     9.9999999995150057E-001    -2.7811664304081798E-002     3.8358112910296751E+000    -6.5561076786911112E+000     5.0845456484795770E+000     9.9999999995150057E-001     9.3796867726801758E-001     1.1333578160048291E-033     0.0000000000000000E+000     1.1333578160048291E-033     6.9999999185302253E-001     2.9805782229016332E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         20     9.9999999994837563E-001    -2.7814443118095587E-002     3.8424948259879494E+000    -6.5532925319110422E+000     5.0941334206402926E+000     9.9999999994837563E-001     9.3796267573616554E-001     1.1407339141449291E-033     0.0000000000000000E+000     1.1407339141449291E-033     6.9999999185302253E-001     2.9805782229016332E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         21     9.9999999994681310E-001    -2.7815823567762382E-002     3.8470714430636730E+000    -6.5516629777709570E+000     5.1004109343531985E+000     9.9999999994681310E-001     9.3795969433009363E-001     1.1450255102615355E-033     0.0000000000000000E+000     1.1450255102615355E-033     6.9999999185302253E-001     2.9805782229016332E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         22     9.9999999994525057E-001    -2.7817198860520694E-002     3.8517401269773637E+000    -6.5502249776398767E+000     5.1065983525030818E+000     9.9999999994525057E-001     9.3795672407100339E-001     1.1488260429203911E-033     0.0000000000000000E+000     1.1488260429203913E-033     6.9999999185302253E-001     2.9805782229016336E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         23     9.9999999994368804E-001    -2.7818569620055834E-002     3.8564509482791181E+000    -6.5489247976404368E+000     5.1126992910546400E+000     9.9999999994368804E-001     9.3795376361180438E-001     1.1522731888049069E-033     0.0000000000000000E+000     1.1522731888049069E-033     6.9999999185302253E-001     2.9805782229016332E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         24     9.9999999994212552E-001    -2.7819936294900423E-002     3.8634905335838723E+000    -6.5471277536890353E+000     5.1216936103316293E+000     9.9999999994212552E-001     9.3795081198370278E-001     1.1570547028687707E-033     0.0000000000000000E+000     1.1570547028687707E-033     6.9999999185302253E-001     2.9805782229016336E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         25     9.9999999993900057E-001    -2.7822658396220307E-002     3.8726371766457639E+000    -6.5448159156452217E+000     5.1334027038911465E+000     9.9999999993900057E-001     9.3794493304844540E-001     1.1632351682338079E-033     0.0000000000000000E+000     1.1632351682338079E-033     6.9999999185302253E-001     2.9805782229016336E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         26     9.9999999993587563E-001    -2.7825366096520667E-002     3.8813110335857464E+000    -6.5423772862563956E+000     5.1448048273463076E+000     9.9999999993587574E-001     9.3793908525169523E-001     1.1697903936947956E-033     0.0000000000000000E+000     1.1697903936947954E-033     6.9999999185302253E-001     2.9805782229016336E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         27     9.9999999993275068E-001    -2.7828058685498057E-002     3.8894231483902622E+000    -6.5397038280106106E+000     5.1559155293503069E+000     9.9999999993275068E-001     9.3793327012689220E-001     1.1770193297294725E-033     0.0000000000000000E+000     1.1770193297294725E-033     6.9999999185302253E-001     2.9805782229016336E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         28     9.9999999992962574E-001    -2.7830734799796947E-002     3.8950865940055723E+000    -6.5374796082531139E+000     5.1640655774518223E+000     9.9999999992962563E-001     9.3792749061781056E-001     1.1830675857659619E-033     0.0000000000000000E+000     1.1830675857659621E-033     6.9999999185302253E-001     2.9805782229016339E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         29     9.9999999992806321E-001    -2.7832066040092352E-002     3.8987131853635919E+000    -6.5359386423560037E+000     5.1694162979628517E+000     9.9999999992806321E-001     9.3792461559865181E-001     1.1872761121855489E-033     0.0000000000000000E+000     1.1872761121855491E-033     6.9999999185302253E-001     2.9805782229016339E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         30     9.9999999992650068E-001    -2.7833392577418299E-002     3.9039368501006986E+000    -6.5335478861546887E+000     5.1773205322891451E+000     9.9999999992650068E-001     9.3792175074504858E-001     1.1938351603270592E-033     0.0000000000000000E+000     1.1938351603270592E-033     6.9999999185302253E-001     2.9805782229016339E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         31     9.9999999992337574E-001    -2.7836031123370571E-002     3.9103988008217216E+000    -6.5301003307776018E+000     5.1876386345901633E+000     9.9999999992337563E-001     9.3791605244073095E-001     1.2033574189941557E-033     0.0000000000000000E+000     1.2033574189941557E-033     6.9999999185302253E-001     2.9805782229016339E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
                         32     9.9999999992025079E-001    -2.7838648854218863E-002     3.9163910596244227E+000    -6.5264455879143171E+000     5.1977184523213227E+000     9.9999999992025079E-001     9.3791039912371577E-001     1.2135349175614777E-033     0.0000000000000000E+000     1.2135349175614777E-033     6.9999999185302253E-001     2.9805782229016343E-005     2.7997020236474873E-001     3.4416106108119886E-003     1.0081585468366039E-003     9.3604466091399743E-003     2.0994599496976479E-003     4.0903242835137500E-003                           1 
