                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        811                         789     1.0000000000000000E+000     2.0000000000000000E-002     4.7454953604420118E+009     2.2056716257231045E+008     5.7832082341962632E+003     1.0453436926897983E+000     1.0198838808277191E+000    -1.4951774552170327E+000     3.3242533467993979E-001     6.7639575204486225E-006     6.4756790136245068E-001     3.4416106108273023E-003     1.0081585468410936E-003     9.3604466091816510E-003     2.0994599497070015E-003     1.0000000000000000E+000     0.0000000000000000E+000     6.5941769077423307E-001     7.4348467332939255E-004     3.1983882455243773E-001     3.4416106108119873E-003     1.0081585468366067E-003     9.3604466091399934E-003     2.0994599496976523E-003     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9999999990225630E-001     1.0196749425985963E+000     9.9999999982730492E-001     1.0195516276266734E+000     1.0312397936239286E+004     2.2017586334532842E+007     9.5662317283120213E+009     1.0455092276149951E+000     1.0455092276149951E+000     2.9276690351900301E-043     2.5140764766403749E-002     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20 
                       zone                           q                        logR                        logT                      logRho                        logP                        mass                      radius                          pp                         cno                     eps_nuc                          h1                         he3                         he4                         c12                         n14                         o16                        ne20                        mg24                 mixing_type 
                          1     1.0000000000000000E+000     8.5507278535723614E-003     3.7625738562421143E+000    -6.8210207532028146E+000     4.7459774555825200E+000     1.0000000000000000E+000     1.0198838808277191E+000     6.1557201039231674E-034     0.0000000000000000E+000     6.1557201039231665E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          2     9.9999999999900002E-001     8.5494548398121969E-003     3.7634911644939080E+000    -6.8147399404187148E+000     4.7531769930257086E+000     9.9999999999900002E-001     1.0198808913255142E+000     6.2454428842269206E-034     0.0000000000000000E+000     6.2454428842269206E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          3     9.9999999999775002E-001     8.5478864046844936E-003     3.7645287430576406E+000    -6.8079177423919823E+000     4.7610395660116156E+000     9.9999999999775002E-001     1.0198772080778695E+000     6.3443822174969229E-034     0.0000000000000000E+000     6.3443822174969238E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          4     9.9999999999650002E-001     8.5463423985172454E-003     3.7661121589277364E+000    -6.7979706106473881E+000     4.7725732150080047E+000     9.9999999999650002E-001     1.0198735822111695E+000     6.4914574199561744E-034     0.0000000000000000E+000     6.4914574199561752E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366041E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                          5     9.9999999999400002E-001     8.5433242629864171E-003     3.7693937036184484E+000    -6.7790716644233058E+000     4.7947589626148934E+000     9.9999999999400013E-001     1.0198664946101799E+000     6.7803521581078345E-034     0.0000000000000000E+000     6.7803521581078345E-034     7.0000000000000007E-001     2.9797635251138282E-005     2.7997020236474895E-001     3.4416106108119968E-003     1.0081585468366045E-003     9.3604466091399777E-003     2.0994599496976492E-003     4.0903242835137518E-003                           0 
                          6     9.9999999998900002E-001     8.5375448599248147E-003     3.7732251687439669E+000    -6.7600899332765021E+000     4.8175827790465870E+000     9.9999999998899991E-001     1.0198529227584334E+000     7.0834587322787414E-034     0.0000000000000000E+000     7.0834587322787406E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          7     9.9999999998587508E-001     8.5340870976961958E-003     3.7763070754678085E+000    -6.7464056483106889E+000     4.8343572456809198E+000     9.9999999998587508E-001     1.0198448029341580E+000     7.3103474229607335E-034     0.0000000000000000E+000     7.3103474229607344E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          8     9.9999999998275013E-001     8.5307365095076172E-003     3.7795365419115989E+000    -6.7334941729231979E+000     4.8505089028679613E+000     9.9999999998275013E-001     1.0198369348471528E+000     7.5310842515626411E-034     0.0000000000000000E+000     7.5310842515626419E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          9     9.9999999997962519E-001     8.5274839932018461E-003     3.7829238647418566E+000    -6.7213219789613268E+000     4.8660817553421962E+000     9.9999999997962519E-001     1.0198292971175082E+000     7.7452843180624284E-034     0.0000000000000000E+000     7.7452843180624284E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
