                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                         50                         549     1.0000000000000000E+000     2.0000000000000000E-002     4.5497190750010674E-001     7.5836984583351114E-002     3.8310254504074423E+003     1.6331982653806418E+002     2.9050139164697363E+001    -8.0536087155342102E+000     7.0000000000000007E-001     2.9797635251138608E-005     2.7997020236474890E-001     3.4416106108120384E-003     1.0081585468366043E-003     9.3604466091399795E-003     2.0994599496976496E-003     1.0000000000000000E+000     0.0000000000000000E+000     6.9999999999999984E-001     2.9797635251138486E-005     2.7997020236474884E-001     3.4416106108120246E-003     1.0081585468366050E-003     9.3604466091399760E-003     2.0994599496976488E-003     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9999505450346926E-001     2.8885463153392017E+001     9.9999334125962480E-001     2.8838992231540352E+001     1.5676745116390944E+006     4.9475752894154102E+003     6.1229553153299168E+007     1.2292350571977128E-021     1.2292350571977128E-021     0.0000000000000000E+000     4.9177591247452707E-023     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20 
                       zone                           q                        logR                        logT                      logRho                        logP                        mass                      radius                          pp                         cno                     eps_nuc                          h1                         he3                         he4                         c12                         n14                         o16                        ne20                        mg24                 mixing_type 
                          1     1.0000000000000000E+000     1.4631482172191335E+000     3.5833150508919753E+000    -7.9931693945506375E+000     3.3940924878849095E+000     1.0000000000000000E+000     2.9050139164697363E+001     4.1377718424527258E-035     0.0000000000000000E+000     4.1377718424527258E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          2     9.9999999999900002E-001     1.4631482164003160E+000     3.5833150818928043E+000    -7.9931692647672516E+000     3.3940924879120948E+000     9.9999999999900002E-001     2.9050139109926324E+001     4.1377730791547486E-035     0.0000000000000000E+000     4.1377730791547486E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          3     9.9999999999775002E-001     1.4631482153767927E+000     3.5833151163381896E+000    -7.9931687044238506E+000     3.3940924879423005E+000     9.9999999999775002E-001     2.9050139041462426E+001     4.1377784186545950E-035     0.0000000000000000E+000     4.1377784186545950E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          4     9.9999999999650002E-001     1.4631482143532726E+000     3.5833151680063073E+000    -7.9931681636248202E+000     3.3940935490796367E+000     9.9999999999650002E-001     2.9050138972998734E+001     4.1377835719231017E-035     0.0000000000000000E+000     4.1377835719231017E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366041E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                          5     9.9999999999400002E-001     1.4631482123062320E+000     3.5833152713425958E+000    -7.9931675234909294E+000     3.3940950761075621E+000     9.9999999999400013E-001     2.9050138836071348E+001     4.1377896717607829E-035     0.0000000000000000E+000     4.1377896717607829E-035     6.9999999999999996E-001     2.9797635251138374E-005     2.7997020236474890E-001     3.4416106108120085E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                          6     9.9999999998900002E-001     1.4631482082121605E+000     3.5833155124616862E+000    -7.9931663615819017E+000     3.3940959303686844E+000     9.9999999998899991E-001     2.9050138562217199E+001     4.1378007436182158E-035     0.0000000000000000E+000     4.1378007436182158E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          7     9.9999999997650002E-001     1.4631481979770080E+000     3.5833158569199628E+000    -7.9931634842811761E+000     3.3940985704606694E+000     9.9999999997650002E-001     2.9050137877583587E+001     4.1378281616095110E-035     0.0000000000000000E+000     4.1378281616095110E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          8     9.9999999996400002E-001     1.4631481877419201E+000     3.5833163736103031E+000    -7.9931596123289248E+000     3.3941038504936154E+000     9.9999999996400002E-001     2.9050137192954328E+001     4.1378650579885662E-035     0.0000000000000000E+000     4.1378650579885662E-035     7.0000000000000007E-001     2.9797635251138628E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          9     9.9999999993900002E-001     1.4631481672719266E+000     3.5833174070078231E+000    -7.9931529462849333E+000     3.3941111237622641E+000     9.9999999993900002E-001     2.9050135823708040E+001     4.1379285804326908E-035     0.0000000000000000E+000     4.1379285804326913E-035     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
