                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        850                         804     1.0000000000000000E+000     2.0000000000000000E-002     9.4986048087865753E+009     6.1967037344975963E+007     5.8558735517466439E+003     1.9923355550703112E+000     1.3732724219664976E+000    -6.1310217119804500E-001     5.0310141720843603E-002     9.4842436965792813E-009     9.2968984879482375E-001     3.4416106108273001E-003     1.0081585468410936E-003     9.3604466091816545E-003     2.0994599497070024E-003     1.0000000000000000E+000     0.0000000000000000E+000     5.9435842739478484E-001     7.1369049184394795E-004     3.8492788211337087E-001     3.4416106108119851E-003     1.0081585468366071E-003     9.3604466091400003E-003     2.0994599496976527E-003     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9999999980344589E-001     1.3729125137623648E+000     9.9999999966352882E-001     1.3727045432910159E+000     1.6112711069956722E+004     8.5794679246922880E+006     5.0192348244505892E+009     1.9925631490836651E+000     1.9925631490836651E+000     8.7229879532156781E-036     6.7578948735001948E-002     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20 
                       zone                           q                        logR                        logT                      logRho                        logP                        mass                      radius                          pp                         cno                     eps_nuc                          h1                         he3                         he4                         c12                         n14                         o16                        ne20                        mg24                 mixing_type 
                          1     1.0000000000000000E+000     1.3775669865048876E-001     3.7677756945196150E+000    -7.0014539715850139E+000     4.5708212996144084E+000     1.0000000000000000E+000     1.3732724219664976E+000     4.0621273803562469E-034     0.0000000000000000E+000     4.0621273803562469E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          2     9.9999999999900002E-001     1.3775590861303660E-001     3.7681910908174965E+000    -6.9985775337365235E+000     4.5741135024886335E+000     9.9999999999900002E-001     1.3732699238098234E+000     4.0891335910167484E-034     0.0000000000000000E+000     4.0891335910167484E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          3     9.9999999999775002E-001     1.3775492757937119E-001     3.7686568385159198E+000    -6.9954130379790840E+000     4.5777448528976672E+000     9.9999999999775002E-001     1.3732668217153656E+000     4.1190518209731870E-034     0.0000000000000000E+000     4.1190518209731870E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          4     9.9999999999650002E-001     1.3775395366147203E-001     3.7693616053150363E+000    -6.9907317944039660E+000     4.5831325555444584E+000     9.9999999999650002E-001     1.3732637421283709E+000     4.1637118861730289E-034     0.0000000000000000E+000     4.1637118861730289E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366041E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                          5     9.9999999999400002E-001     1.3775202668926256E-001     3.7707965978834674E+000    -6.9815889723572857E+000     4.5937152404211758E+000     9.9999999999400013E-001     1.3732576489466546E+000     4.2523378901107358E-034     0.0000000000000000E+000     4.2523378901107367E-034     6.9999999999999996E-001     2.9797635251138276E-005     2.7997020236474890E-001     3.4416106108119959E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                          6     9.9999999998900002E-001     1.3774825295620760E-001     3.7724103717238431E+000    -6.9720284631705978E+000     4.6048941442793145E+000     9.9999999998899991E-001     1.3732457162938501E+000     4.3470315565526986E-034     0.0000000000000000E+000     4.3470315565526986E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          7     9.9999999998587508E-001     1.3774594567884088E-001     3.7736798340448798E+000    -6.9648942419848288E+000     4.6133024796618392E+000     9.9999999998587508E-001     1.3732384206673209E+000     4.4190652851434950E-034     0.0000000000000000E+000     4.4190652851434950E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          8     9.9999999998275013E-001     1.3774367595797724E-001     3.7756272106315016E+000    -6.9545344156135256E+000     4.6256166603233178E+000     9.9999999998275013E-001     1.3732312438325249E+000     4.5257987332119235E-034     0.0000000000000000E+000     4.5257987332119244E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399777E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          9     9.9999999997650013E-001     1.3773924341788391E-001     3.7776706201070516E+000    -6.9446088232036818E+000     4.6375931902701186E+000     9.9999999997650002E-001     1.3732172282929842E+000     4.6304763283387136E-034     0.0000000000000000E+000     4.6304763283387144E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
