                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        900                         837     1.0000000000000000E+000     2.0000000000000000E-002     1.1183108023321840E+010     1.7837857771983068E+007     5.6870068828046687E+003     3.3053415983303998E+000     1.8754241466784372E+000     5.6891036838974784E-001     1.1243277393920484E-002     2.0291504953861256E-011     9.6875672258569900E-001     3.4416106108273010E-003     1.0081585468410949E-003     9.3604466091816649E-003     2.0994599497070054E-003     1.0000000000000000E+000     0.0000000000000000E+000     5.5226347466186820E-001     6.9426879336359243E-004     4.2704225654476807E-001     3.4416106108119816E-003     1.0081585468366076E-003     9.3604466091400090E-003     2.0994599496976536E-003     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9999999946493301E-001     1.8747683264682919E+000     9.9999999911603676E-001     1.8744140065343073E+000     2.5714780797570078E+004     3.7867242971233367E+006     3.0254059081370649E+009     3.3065310850019278E+000     3.3065310850019278E+000     7.7754112847948724E-029     1.5764999318720779E-001     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20 
                       zone                           q                        logR                        logT                      logRho                        logP                        mass                      radius                          pp                         cno                     eps_nuc                          h1                         he3                         he4                         c12                         n14                         o16                        ne20                        mg24                 mixing_type 
                          1     1.0000000000000000E+000     2.7309950338667283E-001     3.7549520523688091E+000    -7.1000884387243417E+000     4.4593471825001068E+000     1.0000000000000000E+000     1.8754241466784372E+000     3.2365047283924017E-034     0.0000000000000000E+000     3.2365047283924017E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          2     9.9999999999900002E-001     2.7309911411470505E-001     3.7551058891460403E+000    -7.0990165103123273E+000     4.4605745872774936E+000     9.9999999999900002E-001     1.8754224656768328E+000     3.2445062418889068E-034     0.0000000000000000E+000     3.2445062418889068E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          3     9.9999999999775002E-001     2.7309862872280150E-001     3.7552773242396569E+000    -7.0978276598378329E+000     4.4619346261463138E+000     9.9999999999775002E-001     1.8754203696005303E+000     3.2534036744744524E-034     0.0000000000000000E+000     3.2534036744744524E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          4     9.9999999999650002E-001     2.7309814465618626E-001     3.7555352081761666E+000    -7.0960562430108975E+000     4.4639644091032480E+000     9.9999999999650002E-001     1.8754182792495764E+000     3.2667063637966386E-034     0.0000000000000000E+000     3.2667063637966382E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366041E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                          5     9.9999999999400002E-001     2.7309718045894871E-001     3.7560539732454719E+000    -7.0925426475797630E+000     4.4679969024673687E+000     9.9999999999400013E-001     1.8754141155514588E+000     3.2932533644506173E-034     0.0000000000000000E+000     3.2932533644506173E-034     6.9999999999999996E-001     2.9797635251138276E-005     2.7997020236474890E-001     3.4416106108119959E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                          6     9.9999999998900002E-001     2.7309526758391689E-001     3.7566228403552011E+000    -7.0887855234346695E+000     4.4723228833304614E+000     9.9999999998899991E-001     1.8754058552002801E+000     3.3218791252098512E-034     0.0000000000000000E+000     3.3218791252098508E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          7     9.9999999998587508E-001     2.7309408232252280E-001     3.7570636114773746E+000    -7.0859266209503868E+000     4.4756238786185705E+000     9.9999999998587508E-001     1.8754007369148360E+000     3.3438279027296764E-034     0.0000000000000000E+000     3.3438279027296764E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          8     9.9999999998275013E-001     2.7309290482831122E-001     3.7577295406524032E+000    -7.0816913563276689E+000     4.4805255481526958E+000     9.9999999998275013E-001     1.8753956521840589E+000     3.3766103811922769E-034     0.0000000000000000E+000     3.3766103811922773E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399777E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          9     9.9999999997650013E-001     2.7309057266598202E-001     3.7588562078924070E+000    -7.0747674504724252E+000     4.4885781488314391E+000     9.9999999997650002E-001     1.8753855813322955E+000     3.4308976809564050E-034     0.0000000000000000E+000     3.4308976809564050E-034     6.9999999843195737E-001     2.9799203293872801E-005     2.7997020236474879E-001     3.4416106108120146E-003     1.0081585468366041E-003     9.3604466091399760E-003     2.0994599496976483E-003     4.0903242835137500E-003                           0 
