                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        905                         845     1.0000000000000000E+000     2.0000000000000000E-002     1.1266941027389572E+010     1.6107200217978776E+007     5.6613681245968937E+003     3.4181599841804875E+000     1.9244748441887125E+000     6.8528239850272432E-001     9.8796115102909934E-003     1.1896475091701480E-011     9.7012038847772342E-001     3.4416106108273010E-003     1.0081585468410955E-003     9.3604466091816666E-003     2.0994599497070054E-003     1.0000000000000000E+000     0.0000000000000000E+000     5.4945632998368210E-001     6.9815837946135073E-004     4.2984551163685686E-001     3.4416106108119825E-003     1.0081585468366078E-003     9.3604466091400090E-003     2.0994599496976544E-003     7.4783879370571293E-005     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9999999941284134E-001     1.9237857715160254E+000     9.9999999904612868E-001     1.9234281330597001E+000     2.6730182836363656E+004     3.5684113721240726E+006     2.9255506021604562E+009     3.4195801992702566E+000     3.4195801992702570E+000     4.0331147922023675E-028     1.7076331100586439E-001     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20 
                       zone                           q                        logR                        logT                      logRho                        logP                        mass                      radius                          pp                         cno                     eps_nuc                          h1                         he3                         he4                         c12                         n14                         o16                        ne20                        mg24                 mixing_type 
                          1     1.0000000000000000E+000     2.8431223857873494E-001     3.7529839232720672E+000    -7.1046538364541467E+000     4.4528085236730899E+000     1.0000000000000000E+000     1.9244748441887125E+000     3.2026463249017062E-034     0.0000000000000000E+000     3.2026463249017062E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          2     9.9999999999900002E-001     2.8431187451259765E-001     3.7531247438725583E+000    -7.1036721735590564E+000     4.4539316129388569E+000     9.9999999999900002E-001     1.9244732309150967E+000     3.2098966145695465E-034     0.0000000000000000E+000     3.2098966145695460E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          3     9.9999999999775002E-001     2.8431142045613406E-001     3.7532816198913879E+000    -7.1025842002637836E+000     4.4551756363452233E+000     9.9999999999775002E-001     1.9244712188723718E+000     3.2179512648865386E-034     0.0000000000000000E+000     3.2179512648865390E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          4     9.9999999999650002E-001     2.8431096753430884E-001     3.7535175248257513E+000    -7.1009595983027536E+000     4.4570368056997820E+000     9.9999999999650002E-001     1.9244692118596218E+000     3.2300164138288757E-034     0.0000000000000000E+000     3.2300164138288757E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366041E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                          5     9.9999999999400002E-001     2.8431006506866530E-001     3.7539917567892651E+000    -7.0977371281511674E+000     4.4607344010702867E+000     9.9999999999400013E-001     1.9244652128091764E+000     3.2540822185025495E-034     0.0000000000000000E+000     3.2540822185025491E-034     7.0000000000000007E-001     2.9797635251138282E-005     2.7997020236474895E-001     3.4416106108119968E-003     1.0081585468366045E-003     9.3604466091399777E-003     2.0994599496976492E-003     4.0903242835137518E-003                           0 
                          6     9.9999999998900002E-001     2.8430827346375892E-001     3.7545110636420529E+000    -7.0942874254413306E+000     4.4647039468342982E+000     9.9999999998899991E-001     1.9244572737854280E+000     3.2800438178379352E-034     0.0000000000000000E+000     3.2800438178379352E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          7     9.9999999998587508E-001     2.8430716255878280E-001     3.7549130948882312E+000    -7.0916608538516881E+000     4.4677327878484583E+000     9.9999999998587508E-001     1.9244523511200096E+000     3.2999495681654637E-034     0.0000000000000000E+000     3.2999495681654637E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          8     9.9999999998275013E-001     2.8430605834373207E-001     3.7555199824537211E+000    -7.0877634178738766E+000     4.4722383131605810E+000     9.9999999998275013E-001     1.9244474581116073E+000     3.3297095818521315E-034     0.0000000000000000E+000     3.3297095818521319E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399777E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          9     9.9999999997650013E-001     2.8430386961891563E-001     3.7565449615267168E+000    -7.0813836319591665E+000     4.4796435275298085E+000     9.9999999997650002E-001     1.9244377594498210E+000     3.3790047529557941E-034     0.0000000000000000E+000     3.3790047529557937E-034     6.9999999843195748E-001     2.9799203293872798E-005     2.7997020236474884E-001     3.4416106108120141E-003     1.0081585468366043E-003     9.3604466091399777E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
