                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        300                         623     1.0000000000000000E+000     2.0000000000000000E-002     3.2913187236523649E+004     5.0466298297281685E+002     4.3423114633197829E+003     1.9351019070356038E+001     7.7833904057275198E+000    -6.2179634571075439E+000     7.0000000000000018E-001     2.9797635251138438E-005     2.7997020236474890E-001     3.4416106108119972E-003     1.0081585468366045E-003     9.3604466091399795E-003     2.0994599496976496E-003     1.0000000000000000E+000     0.0000000000000000E+000     7.0000000000000007E-001     2.9797635251138431E-005     2.7997020236474884E-001     3.4416106108119946E-003     1.0081585468366052E-003     9.3604466091399777E-003     2.0994599496976492E-003     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9999991281796830E-001     7.7698691106633957E+000     9.9999987528712619E-001     7.7655090873973762E+000     2.1741364318904711E+005     1.5585002754035342E+005     5.1676864994252783E+008     9.6331083459976436E-013     9.6331083459976436E-013     0.0000000000000000E+000     3.8539131551190151E-014     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20 
                       zone                           q                        logR                        logT                      logRho                        logP                        mass                      radius                          pp                         cno                     eps_nuc                          h1                         he3                         he4                         c12                         n14                         o16                        ne20                        mg24                 mixing_type 
                          1     1.0000000000000000E+000     8.9116881469660003E-001     3.6377218009010308E+000    -7.5393641086620331E+000     3.9025225319669476E+000     1.0000000000000000E+000     7.7833904057275198E+000     1.1766822991817131E-034     0.0000000000000000E+000     1.1766822991817133E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          2     9.9999999999900002E-001     8.9116879972320351E-001     3.6377236666164054E+000    -7.5393505496503677E+000     3.9025383732391821E+000     9.9999999999900002E-001     7.7833901373755303E+000     1.1767190457757987E-034     0.0000000000000000E+000     1.1767190457757989E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          3     9.9999999999775002E-001     8.9116878100704233E-001     3.6377257396866653E+000    -7.5393377266983563E+000     3.9025540075400076E+000     9.9999999999775002E-001     7.7833898019460293E+000     1.1767537986133652E-034     0.0000000000000000E+000     1.1767537986133654E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          4     9.9999999999650002E-001     8.9116876229143038E-001     3.6377288493686586E+000    -7.5393159216999726E+000     3.9025789084428579E+000     9.9999999999650002E-001     7.7833894665263870E+000     1.1768128970010622E-034     0.0000000000000000E+000     1.1768128970010622E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366041E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                          5     9.9999999999400002E-001     8.9116872486207654E-001     3.6377350690576478E+000    -7.5392722876897622E+000     3.9026279337569156E+000     9.9999999999400013E-001     7.7833887957206587E+000     1.1769311677738823E-034     0.0000000000000000E+000     1.1769311677738821E-034     6.9999999999999996E-001     2.9797635251138276E-005     2.7997020236474890E-001     3.4416106108119959E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
                          6     9.9999999998900002E-001     8.9116865001086287E-001     3.6377495831163440E+000    -7.5391702315225588E+000     3.9027449834855235E+000     9.9999999998899991E-001     7.7833874542436847E+000     1.1772078392789976E-034     0.0000000000000000E+000     1.1772078392789974E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          7     9.9999999997650002E-001     8.9116846292662844E-001     3.6377703231610190E+000    -7.5390245524228590E+000     3.9029110585328004E+000     9.9999999997650002E-001     7.7833841013372345E+000     1.1776028840722530E-034     0.0000000000000000E+000     1.1776028840722530E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          8     9.9999999996400002E-001     8.9116827590489478E-001     3.6378014410588548E+000    -7.5388080348959488E+000     3.9031585663605233E+000     9.9999999996400002E-001     7.7833807495523617E+000     1.1781902697043109E-034     0.0000000000000000E+000     1.1781902697043111E-034     7.0000000000000007E-001     2.9797635251138628E-005     2.7997020236474890E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003                           0 
                          9     9.9999999993900002E-001     8.9116790204713847E-001     3.6378637089233163E+000    -7.5383735463796997E+000     3.9036569468407829E+000     9.9999999993900002E-001     7.7833740493152348E+000     1.1793698681754262E-034     0.0000000000000000E+000     1.1793698681754262E-034     7.0000000000000007E-001     2.9797635251138621E-005     2.7997020236474890E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003                           0 
